ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Ramarama-160_knife-1-1,Ramarama-160_knife-1,ijápokpak,9538,false,expert,,i j á p o k p a k,,,1
Ramarama-286_leg-1-1,Ramarama-286_leg-1,ʃampu,9998,false,expert,,ʃ a mp u,,,1
Ramarama-183_liver-1-1,Ramarama-183_liver-1,piá,10053,false,expert,,- - p iá/ia - - - - -,,,1
Ramarama-214_lizard-1-1,Ramarama-214_lizard-1,unekó,10116,false,expert,,- - - u n e k ó -,,,1
Ramarama-29_macaw-1-1,Ramarama-29_macaw-1,karo,10353,false,expert,,k a r o - - - - -,,,1
Ramarama-196_man-1-1,Ramarama-196_man-1,mauwi,10416,false,expert,,m au - w - - i - -,,,1
Ramarama-222_moon-1-1,Ramarama-222_moon-1,wená,10696,false,expert,,w e n á,,,1
Ramarama-287_mosquito-1-1,Ramarama-287_mosquito-1,tiko,10795,false,expert,,t i - - k o,,,1
Ramarama-7_mother-1-1,Ramarama-7_mother-1,wanga,10857,false,expert,,- w a n g a,,,1
Ramarama-56_moustache-1-1,Ramarama-56_moustache-1,uguɲuŋ,11010,false,expert,,u g u ɲ u ŋ,,,1
Ramarama-57_mouth-1-1,Ramarama-57_mouth-1,nãka,11051,false,expert,,n ã k a,,,1
Ramarama-289_neck-1-1,Ramarama-289_neck-1,otká,11226,false,expert,,- o t - k á -,,,1
Ramarama-254_nose-1-1,Ramarama-254_nose-1,nasoktomi,11461,false,expert,,n a s o k t o m i,,,1
Ramarama-273_paca-1-1,Ramarama-273_paca-1,jabó,11879,false,expert,,- - - j a b ó - -,,,1
Ramarama-277_pan-1-1,Ramarama-277_pan-1,maẽga,12048,false,expert,,m a ẽ g a,,,1
Ramarama-230_papaya-1-1,Ramarama-230_papaya-1,opí,12067,false,expert,,- o p í - - - - - - - - -,,,1
Ramarama-278_parrot-1-1,Ramarama-278_parrot-1,aoro,12110,false,expert,,- ao r o - - - -,,,1
Ramarama-300_peccarycollared-1-1,Ramarama-300_peccarycollared-1,jarasewat,12303,false,expert,,j a r a s e w a t,,,1
Ramarama-315_peccarywhitelipped-1-1,Ramarama-315_peccarywhitelipped-1,jate,12355,false,expert,,j a - - t e - - - - - -,,,1
Ramarama-308_penis-1-1,Ramarama-308_penis-1,apó,12399,false,expert,,- a - p ó - -,,,1
Ramarama-98_rain-1-1,Ramarama-98_rain-1,amã,12957,false,expert,,a m ã - -,,,1
Ramarama-281_skin-1-1,Ramarama-281_skin-1,beoʔdn,14547,false,expert,,- - b eo ʔ - d n,,,1
Ramarama-101_snake-1-1,Ramarama-101_snake-1,maigaŋ,15015,false,expert,,m ai g a ŋ -,,,1
Ramarama-40_souracidbitter-1-1,Ramarama-40_souracidbitter-1,sjurem,15262,false,expert,,s j u r e m,,,1
Ramarama-28_spider-1-1,Ramarama-28_spider-1,paramint,15373,false,expert,,p a r a m i n t,,,1
Ramarama-157_star-1-1,Ramarama-157_star-1,tʃigamóka,15566,false,expert,,tʃ i g a m ó k a,,,1
Ramarama-279_stone-1-1,Ramarama-279_stone-1,ijá,15739,false,expert,,i j á/a,,,1
Ramarama-347_sun-1-1,Ramarama-347_sun-1,tʃawáp,15894,false,expert,,tʃ a - w á p,,,1
Ramarama-51_sweetpotato-1-1,Ramarama-51_sweetpotato-1,petika,16102,false,expert,,- p e t i k a -,,,1
Ramarama-23_tapir-1-1,Ramarama-23_tapir-1,nató,16286,false,expert,,n a - t ó -,,,1
Ramarama-361_testicles-1-1,Ramarama-361_testicles-1,apiãn,16594,false,expert,,- - - a p iã n - -,,,1
Ramarama-198_tinamou-1-1,Ramarama-198_tinamou-1,wam,17220,false,expert,,w a m,,,1
Ramarama-223_tongue-1-1,Ramarama-223_tongue-1,ukagá,17486,false,expert,,- u k a g á,,,1
Ramarama-128_tooth-1-1,Ramarama-128_tooth-1,njãŋ,17552,false,expert,,- - - - n j ã ŋ,,,1
Ramarama-400_tree-1-1,Ramarama-400_tree-1,majup,17699,false,expert,,m a j u p,,,1
Ramarama-356_turtle-1-1,Ramarama-356_turtle-1,mboá,17800,false,expert,,- - mb oá - - -,,,1
Ramarama-165_ugly-1-1,Ramarama-165_ugly-1,septem,17937,false,expert,,s e p - - t e m,,,1
Ramarama-17_village-1-1,Ramarama-17_village-1,koãŋa,18186,false,expert,,k oã ŋ - - a,,,1
Ramarama-399_water-1-1,Ramarama-399_water-1,itʃu,18596,false,expert,,- i - tʃ u - -,,,1
Ramarama-385_wind-1-1,Ramarama-385_wind-1,anãgoté,19208,false,expert,,- a n ã g o t é,,,1
Ramarama-249_woman-1-1,Ramarama-249_woman-1,mapoja,19360,false,expert,,- m a - p o j a,,,1
Makurap-140_above-1-1,Makurap-140_above-1,teteʔ,2,false,expert,,t e t e ʔ,,,1
Makurap-121_agouti-1-1,Makurap-121_agouti-1,mãkɨ̃ja,86,false,expert,,m ã k ɨ̃,,,1
Makurap-121_agouti-1-2,Makurap-121_agouti-1,mãkɨ̃ja,150,false,expert,,j a,,,2
Makurap-365_all-1-1,Makurap-365_all-1,βiibmõ,205,false,expert,,- - - - β iː b m - õ,,,1
Makurap-365_all-2-1,Makurap-365_all-2,ŋitoɲə̃ʔ,215,false,expert,,ŋ i t o ɲ ə̃ ʔ,,,1
Makurap-350_anaconda-1-1,Makurap-350_anaconda-1,ɨdnajã,305,false,expert,,ɨ d n a j ã,,,1
Makurap-378_anatto-1-1,Makurap-378_anatto-1,iko,343,false,expert,,i - - k o,,,1
Makurap-176_ant-1-1,Makurap-176_ant-1,bɨtɨraj,391,false,expert,,b ɨ t ɨ r a j,,,1
Makurap-354_anteater-1-1,Makurap-354_anteater-1,ũbatʃi,441,false,expert,,- - ũ b a tʃ i,,,1
Makurap-357_armadillo-1-1,Makurap-357_armadillo-1,tajto,549,false,expert,,t a j t o - - -,,,1
Makurap-94_arrive-1-1,Makurap-94_arrive-1,kɨrɨj,612,false,expert,,k ɨ r ɨ j,,,1
Makurap-94_arrive-2-1,Makurap-94_arrive-2,awogot,614,false,expert,,a w o g o t,,,1
Makurap-172_arrow-1-1,Makurap-172_arrow-1,biareʔ,669,false,expert,,- - b ia r e ʔ -,,,1
Makurap-172_arrow-2-1,Makurap-172_arrow-2,toraka,674,false,expert,,t o r a k a,,,1
Makurap-227_axe-1-1,Makurap-227_axe-1,βiʔ,742,false,expert,,β i ʔ,,,1
Makurap-42_acaipalm-1-1,Makurap-42_acaipalm-1,βiritʃa,805,false,expert,,- - - - β i r i tʃ a,,,1
Makurap-114_back-1-1,Makurap-114_back-1,watpja,850,false,expert,,- - - - w a t p j a -,,,1
Makurap-114_back-2-1,Makurap-114_back-2,ɨro,849,false,expert,,- ɨ r o - - - -,,,1
Makurap-234_badevil-1-1,Makurap-234_badevil-1,ɨro,910,false,expert,,- ɨ - - r o - - -,,,1
Makurap-355_bamboo-1-1,Makurap-355_bamboo-1,ɨkap,965,false,expert,,- ɨ - k a - - p -,,,1
Makurap-45_banana-1-1,Makurap-45_banana-1,pakoʔ,1012,false,expert,,p a k o - - - - ʔ -,,,1
Makurap-3_basket-1-1,Makurap-3_basket-1,kakeʔ,1086,false,expert,,k a k e ʔ,,,1
Makurap-244_bat-1-1,Makurap-244_bat-1,wajtʃa-liaj,1150,false,expert,,w a j tʃ a,,,1
Makurap-244_bat-1-2,Makurap-244_bat-1,wajtʃa-liaj,1149,false,expert,,l ia j -,,,2
Makurap-47_bathe-1-1,Makurap-47_bathe-1,tʃato,1206,false,expert,,- tʃ a - t o -,,,1
Makurap-164_beans-1-1,Makurap-164_beans-1,kakeʔ,1307,false,expert,,k a - - k e ʔ -,,,1
Makurap-49_beard-1-1,Makurap-49_beard-1,ɲikutʃap,1365,false,expert,,- - ɲ i k u tʃ - - a p -,,,1
Makurap-59_beautiful-1-1,Makurap-59_beautiful-1,atɨ,1412,false,expert,,- - a t ɨ - - - -,,,1
Makurap-9_bee-1-1,Makurap-9_bee-1,akɨja,1454,false,expert,,a k ɨ j a,,,1
Makurap-139_below-1-1,Makurap-139_below-1,piri,1584,false,expert,,- p i r i - - - -,,,1
Makurap-46_bench-1-1,Makurap-46_bench-1,jãpe,1616,false,expert,,j ã p - e - - -,,,1
Makurap-192_big-1-1,Makurap-192_big-1,tʃato,1649,false,expert,,- - tʃ a t o - -,,,1
Makurap-305_bird-1-1,Makurap-305_bird-1,mõkira,1721,false,expert,,m õ k - - i r a - -,,,1
Makurap-245_bite-1-1,Makurap-245_bite-1,mboroŋga,1787,false,expert,,mb/ⁿb o r o ŋg/ⁿg a,,,1
Makurap-302_black-1-1,Makurap-302_black-1,kõm,1851,false,expert,,- k õ m,,,1
Makurap-338_blood-1-1,Makurap-338_blood-1,t eɨ,1916,false,expert,,- t - -,,,1
Makurap-338_blood-1-2,Makurap-338_blood-1,t eɨ,1913,false,expert,,eɨ,,,2
Makurap-348_blow-1-1,Makurap-348_blow-1,wɨ,1976,false,expert,,w - - ɨ -,,,1
Makurap-41_blue-1-1,Makurap-41_blue-1,ɲaramtjiat,2038,false,expert,,ɲ a r a m t j ia t,,,1
Makurap-269_bone-1-1,Makurap-269_bone-1,tʃeβaoo,2089,false,expert,,tʃ e β - - ao,,,1
Makurap-31_bow-1-1,Makurap-31_bow-1,mbotʃato,2158,false,expert,,mb/ⁿb o tʃ a t o,,,1
Makurap-237_boy-1-1,Makurap-237_boy-1,nãkowɨt,2226,false,expert,,n ã k o w ɨ t,,,1
Makurap-184_branch-1-1,Makurap-184_branch-1,jãŋã,2286,false,expert,,j ã ŋ ã,,,1
Makurap-89_brazilnut-1-1,Makurap-89_brazilnut-1,arao,2330,false,expert,,- a r - - - ao,,,1
Makurap-312_break-1-1,Makurap-312_break-1,pak,2378,false,expert,,- p a k - -,,,1
Makurap-342_breast-1-1,Makurap-342_breast-1,ŋẽm,2429,false,expert,,- - ŋ ẽ m - - - -,,,1
Makurap-205_brother-1-1,Makurap-205_brother-1,tʃoat,2541,false,expert,,tʃ o a t,,,1
Makurap-313_burnintr-1-1,Makurap-313_burnintr-1,ekarĩnã,2695,false,expert,,e k a r ĩ n ã -,,,1
Makurap-314_burntr-1-1,Makurap-314_burntr-1,akaɾinǝ̃ʔ,2695,false,expert,,a k a ɾ i n ǝ̃ ʔ,,,1
Makurap-332_slashgarden-1-1,Makurap-332_slashgarden-1,ŋe,14669,false,expert,,ŋ e,,,1
Makurap-60_butterfly-1-1,Makurap-60_butterfly-1,dʒarɨre,2855,false,expert,,dʒ a - - - - r ɨ r e,,,1
Makurap-68_calabashgourd-1-1,Makurap-68_calabashgourd-1,akaja,2938,false,expert,,a k a j - a,,,1
Makurap-78_canoe-1-1,Makurap-78_canoe-1,kɨpeʔ,3006,false,expert,,- k ɨ p e ʔ - - -,,,1
Makurap-225_capuchinmonkey-1-1,Makurap-225_capuchinmonkey-1,ʔõrõm,3073,false,expert,,- - ʔ õ r õ m,,,1
Makurap-81_capybara-1-1,Makurap-81_capybara-1,tʃaβi,3108,false,expert,,- tʃ a β - - - - i - -,,,1
Makurap-199_cararootyam-1-1,Makurap-199_cararootyam-1,tʃewai,3152,false,expert,,tʃ e w ai - -,,,1
Makurap-93_chiefmasterowner-1-1,Makurap-93_chiefmasterowner-1,moat,3254,false,expert,,m oa t - - -,,,1
Makurap-75_cashew-1-1,Makurap-75_cashew-1,mbaa,3194,false,expert,,mb/ⁿb aː,,,1
Makurap-116_child-1-1,Makurap-116_child-1,tʃaɨwi,3284,false,expert,,tʃ aɨ w i -,,,1
Makurap-99_cicada-1-1,Makurap-99_cicada-1,worẽŋgope,3329,false,expert,,w o r ẽ ŋg/ⁿg o p e,,,1
Makurap-188_claw-1-1,Makurap-188_claw-1,mboape,3361,false,expert,,mb oa - - p e,,,1
Makurap-259_cloud-1-1,Makurap-259_cloud-1,ɨpɨget,3416,false,expert,,ɨ p ɨ g e t - - - -,,,1
Makurap-310_coati-1-1,Makurap-310_coati-1,merejə,3489,false,expert,,m e r e j ə,,,1
Makurap-48_cockroach-1-1,Makurap-48_cockroach-1,jenpet.tik,3547,false,expert,,j e n p e t,,,1
Makurap-48_cockroach-1-2,Makurap-48_cockroach-1,jenpet.tik,3548,false,expert,,t i k,,,2
Makurap-71_cocoa-1-1,Makurap-71_cocoa-1,ndɨnda,3584,false,expert,,nd ɨ nd a,,,1
Makurap-178_cold-1-1,Makurap-178_cold-1,tʃə̃k,3615,false,expert,,- - - - tʃ ə̃ - - k - - -,,,1
Makurap-393_come-1-1,Makurap-393_come-1,ariot,3744,false,expert,,- a r io t,,,1
Makurap-283_comb-1-1,Makurap-283_comb-1,kĩã,3689,false,expert,,- - k ĩã - - - - -,,,1
Makurap-238_cornmaize-1-1,Makurap-238_cornmaize-1,dʒɨt,3808,false,expert,,dʒ ɨ - - t -,,,1
Makurap-18_cotton-1-1,Makurap-18_cotton-1,ororoʔ,3878,false,expert,,o r o r o - ʔ -,,,1
Makurap-84_crab-1-1,Makurap-84_crab-1,amãjã,3948,false,expert,,- a m ã j ã -,,,1
Makurap-193_cricketzool-1-1,Makurap-193_cricketzool-1,ŋgara,3991,false,expert,,- ŋg/ⁿg a r a - - - - - -,,,1
Makurap-251_gnatpium-1-1,Makurap-251_gnatpium-1,mĩtõ,7252,false,expert,,m ĩ t - õ - -,,,1
Makurap-112_cut-1-1,Makurap-112_cut-1,ndeŋa,4095,false,expert,,nd/ⁿd e ŋ - - a,,,1
Makurap-123_dance-1-1,Makurap-123_dance-1,min,4169,false,expert,,m i - - n,,,1
Makurap-169_daughterofwoman-1-1,Makurap-169_daughterofwoman-1,pirer,4287,false,expert,,p i r e r,,,1
Makurap-168_daughterofman-1-1,Makurap-168_daughterofman-1,taker,4217,false,expert,,- t a k e r,,,1
Makurap-132_day-1-1,Makurap-132_day-1,tʃap,4351,false,expert,,tʃ a p,,,1
Makurap-132_day-2-1,Makurap-132_day-2,ama,4354,false,expert,,a m a,,,1
Makurap-382_deer-1-1,Makurap-382_deer-1,ɨtɨ,4402,false,expert,,- - ɨ t ɨ -,,,1
Makurap-126_defecate-1-1,Makurap-126_defecate-1,ɲed,4472,false,expert,,ɲ e d,,,1
Makurap-246_die-1-1,Makurap-246_die-1,pok,4509,false,expert,,p o k,,,1
Makurap-246_die-2-1,Makurap-246_die-2,poti,4509,false,expert,,- p o t i -,,,1
Makurap-90_dig-1-1,Makurap-90_dig-1,kitʃ,4577,false,expert,,k i tʃ,,,1
Makurap-352_dirty-1-1,Makurap-352_dirty-1,kõm,4619,false,expert,,- - - - k õ m,,,1
Makurap-163_domake-1-1,Makurap-163_domake-1,nəʔ,4670,false,expert,,n ə ʔ -,,,1
Makurap-72_dog-1-1,Makurap-72_dog-1,aware,4730,false,expert,,- - - - a - - w a r e -,,,1
Makurap-72_dog-2-1,Makurap-72_dog-2,amẽko,4729,false,expert,,a m - - - - ẽ k o,,,1
Makurap-301_door-1-1,Makurap-301_door-1,upepirete,4797,false,expert,,u p e p i r e t e,,,1
Makurap-53_drinkv-1-1,Makurap-53_drinkv-1,kaʔ,4883,false,expert,,- - - k a ʔ,,,1
Makurap-53_drinkv-2-1,Makurap-53_drinkv-2,ekɨka,4883,false,expert,,e k ɨ k a -,,,1
Makurap-340_dry-1-1,Makurap-340_dry-1,mãrãk,4952,false,expert,,- m ã - - r ã k,,,1
Makurap-341_drystate-1-1,Makurap-341_drystate-1,wok,5014,false,expert,,w o k - - - -,,,1
Makurap-360_earthland-1-1,Makurap-360_earthland-1,kɨj,5131,false,expert,,k ɨ - - - - j,,,1
Makurap-268_ear-1-1,Makurap-268_ear-1,apitʃep,5066,false,expert,,- a p - - - - i tʃ e - - p - -,,,1
Makurap-103_eatintr-1-1,Makurap-103_eatintr-1,kãnãʔ,5199,false,expert,,k - ã n ã ʔ +,,,1
Makurap-104_eattr-1-1,Makurap-104_eattr-1,oẽn,5199,false,expert,,- - oẽ n - - -,,,1
Makurap-272_egg-1-1,Makurap-272_egg-1,tʃopia,5298,false,expert,,tʃ - o p - ia - -,,,1
Makurap-141_cecropia-1-1,Makurap-141_cecropia-1,arará,3231,false,expert,,a r a r á/a -,,,1
Makurap-142_electriceel-1-1,Makurap-142_electriceel-1,ndoko,5364,false,expert,,nd o k o -,,,1
Makurap-145_enter-1-1,Makurap-145_enter-1,korop,5399,false,expert,,k o r o p,,,1
Makurap-145_enter-2-1,Makurap-145_enter-2,mɨã,5408,false,expert,,m ɨã,,,1
Makurap-264_eye-1-1,Makurap-264_eye-1,tiptʃaʔ,5455,false,expert,,t i p tʃ a ʔ,,,1
Makurap-82_face-1-1,Makurap-82_face-1,tʃitʃa,5525,false,expert,,- tʃ i tʃ a,,,1
Makurap-74_fall-1-1,Makurap-74_fall-1,kat,5574,false,expert,,- k a t,,,1
Makurap-221_far-1-1,Makurap-221_far-1,wɛtok,5634,false,expert,,- - - w ɛ t o k - -,,,1
Makurap-190_fatgrease-1-1,Makurap-190_fatgrease-1,werep,5698,false,expert,,w e r e p,,,1
Makurap-275_father-1-1,Makurap-275_father-1,tʃo-et,5755,false,expert,,- - tʃ o,,,1
Makurap-275_father-1-2,Makurap-275_father-1,tʃo-et,5760,false,expert,,e t,,,2
Makurap-275_father-2-1,Makurap-275_father-2,aβa,5756,false,expert,,- - - a β a -,,,1
Makurap-359_fearbeafraid-1-1,Makurap-359_fearbeafraid-1,miwa,5834,false,expert,,m i w a,,,1
Makurap-282_feather-1-1,Makurap-282_feather-1,tʃaa,5887,false,expert,,- - - tʃ aː -,,,1
Makurap-282_feather-2-1,Makurap-282_feather-2,taet,5887,false,expert,,- - - t ae t,,,1
Makurap-125_finger-1-1,Makurap-125_finger-1,mũɲiã,5946,false,expert,,m ũ - - ɲ iã,,,1
Makurap-174_fire-1-1,Makurap-174_fire-1,otʃat,6003,false,expert,,o tʃ a t -,,,1
Makurap-379_fireflyglowworm-1-1,Makurap-379_fireflyglowworm-1,mboreeptʃop,6082,false,expert,,mb o r eː p tʃ o p,,,1
Makurap-280_fish-1-1,Makurap-280_fish-1,potkap,6174,false,expert,,- p o t k a p,,,1
Makurap-24_fishhook-1-1,Makurap-24_fishhook-1,tĩwãp,6254,false,expert,,t ĩ w ã p,,,1
Makurap-303_fleachigger-1-1,Makurap-303_fleachigger-1,joŋ,6323,false,expert,,j o ŋ - - - -,,,1
Makurap-85_fleshmeat-1-1,Makurap-85_fleshmeat-1,ɲirǝ̃ʔ_,6375,false,expert,,ɲ i r ǝ̃ ʔ +,,,1
Makurap-162_flour-1-1,Makurap-162_flour-1,tʃaɨ,6433,false,expert,,- - - - - - - tʃ aɨ,,,1
Makurap-173_flower-1-1,Makurap-173_flower-1,kɨptʃiret,6486,false,expert,,k ɨ p - tʃ i r e t - - - -,,,1
Makurap-395_fly-1-1,Makurap-395_fly-1,atʃɨɾɨpaʔ,6554,false,expert,,a tʃ ɨ ɾ ɨ p a ʔ,,,1
Makurap-247_flyinsect-1-1,Makurap-247_flyinsect-1,meroə,6604,false,expert,,m e r oə - - - - - -,,,1
Makurap-307_foot-1-1,Makurap-307_foot-1,biʔ,6716,false,expert,,- - b i ʔ - - -,,,1
Makurap-153_forget-1-1,Makurap-153_forget-1,apitwat,6793,false,expert,,a p i t - w a t,,,1
Makurap-311_four-1-1,Makurap-311_four-1,ereaerea,6818,false,expert,,- e r - - e - ae - - r ea - - - - - - -,,,1
Makurap-339_frogtoad-1-1,Makurap-339_frogtoad-1,kaai,6877,false,expert,,k a - - -,,,1
Makurap-179_fruit-1-1,Makurap-179_fruit-1,kɨwot,6941,false,expert,,- k - - ɨ w - o t,,,1
Makurap-95_full-1-1,Makurap-95_full-1,tõm,6994,false,expert,,t õ m,,,1
Makurap-212_genipa-1-1,Makurap-212_genipa-1,mẽtʃaap,7048,false,expert,,m ẽ tʃ aː p - - - - -,,,1
Makurap-236_girl-1-1,Makurap-236_girl-1,tʃitʃip,7141,false,expert,,tʃ i tʃ i p,,,1
Makurap-124_give-1-1,Makurap-124_give-1,õǝ̃ʔ,7193,false,expert,,õǝ̃ ʔ,,,1
Makurap-200_go-1-1,Makurap-200_go-1,tet,7303,false,expert,,- t e t -,,,1
Makurap-349_goup-1-1,Makurap-349_goup-1,kit,7365,false,expert,,k i - - - t,,,1
Makurap-58_goodwell-1-1,Makurap-58_goodwell-1,poaret,7418,false,expert,,p oa r - - e t,,,1
Makurap-58_goodwell-2-1,Makurap-58_goodwell-2,poat,7418,false,expert,,p oa t - - - -,,,1
Makurap-191_grass-1-1,Makurap-191_grass-1,mbɨk,7553,false,expert,,- mb ɨ k,,,1
Makurap-387_green-1-1,Makurap-387_green-1,atiʔ,7601,false,expert,,a t i ʔ,,,1
Makurap-387_green-2-1,Makurap-387_green-2,ɲẽrẽm,7603,false,expert,,ɲ ẽ r ẽ m,,,1
Makurap-115_grow-1-1,Makurap-115_grow-1,nã,7703,false,expert,,n ã,,,1
Makurap-76_greeniguana-1-1,Makurap-76_greeniguana-1,tʃakotʃato,7668,false,expert,,tʃ a k o tʃ a t o,,,1
Makurap-211_guanjacu-1-1,Makurap-211_guanjacu-1,βakupẽm,7735,false,expert,,β a k u p ẽ m - - - - -,,,1
Makurap-69_hair-1-1,Makurap-69_hair-1,tɨm,7781,false,expert,,- - - - - t ɨ m - - -,,,1
Makurap-322_hammock-1-1,Makurap-322_hammock-1,erĩ,7851,false,expert,,e r ĩ,,,1
