ID	Name	Family	ISO639P3code	Language_ID	Glottocode	Longitude	Latitude	SubGroup	Sources
Nheengatu	Nheengatu	Tupi-Guarani	yrl	yrl	nhen1239	-66.9646	1.04503		cruz2011fonologia,100201,81291
NtogapidItogapuk	Ntogapid-Itogapuk	Ramarana-Purubora		nto		-61.66003	-10.452133		loukotka1968classification,67885,147062
OldGuarani	Old Guaraní	Tupi-Guarani		olg		-54.29	-26.25		restivo1893lexicon,restivo1893escolios,dietrich1984ruiz,de1876catecismo,montoya1994arte,108708
Omagua	Omagua	Omagua-Kokama	omg	omg	omag1248	-69.17	-3.53		43829,545850,307372,575624,131312,315979
Parakana	Parakana	Tupi-Guarani	 	pak	para1312	-50.0621	-4.64681		ferreira2003construindo
Parintintin	Parintintin	Tupi-Guarani	pah	pah	tenh1241	-61.936	-7.92626		pease1971parintintin,betts1981dicionario,sampaio1997estudo,140705,22397,557297,betts2012kagwahiva
Piripkura	Piripkura	Tupi-Guarani		pir		-9.70581	-61.01505		junior2016uso
Purubora	Purubora	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226		monserrat2005noticia,146671,39438,koch1932worterlisten
Ramarama	Ramarama	Ramarana-Purubora		rm		-63	-10.4		gabas2000genetic,levi1950documents,galucio2015genealogical
Mawe	Mawe	Mawé	mav	mav	sate1243	-56.8749	-3.63897		silva2010estudo,ribeiro2010dicionario,daSilva2010mawe
Siriono	Siriono	Tupi-Guarani	srq	srq	siri1273	-63.9688	-15.5298		98671,105229,303029,17823,80567,gasparini2015diccionario
SuruiAikewara	Surui-Aikewara	Tupi-Guarani	mdz	mdz	suru1262	-48.59	-5.93		97562,164330,lopes2015esbocco
SuruiPaiter	Surui-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989		bontkes1978dicionario,anonby2013report,pappiani2016historias,felzke2019kinship,moore2014study,galucio2015genealogical,moore2005classificaccao,anonby2012historical
Tapiete	Tapiete	Tupi-Guarani	tpj	tpj	tapi1253	-62.684	-21.4169		146953,gonzalez2005grammar
Tapirape	Tapirapé	Tupi-Guarani	taf	taf	tapi1254	-50.5438	-10.5373		106279,75902,112834,26128,477465,de1982classificaccao,pracca2007morfossintaxe,de1983lingua
Tembe	Tembe	Tupi-Guarani	tqb	tqb	temb1276	-48.2359	-2.6123		62742,94751,boudin1978dicionario
Tenharim	Tenharim	Tupi-Guarani	xyz	xyz		-61.8972	-8.32882		13121,59040,163763,betts2012kagwahiva,sampaio1997estudo
Tupari	Tupari	Tupari	tpr	tpr	tupa1250	-62.2544	-11.8884		sekelj1948wordlist,loukotka1963documents,nogueira2019kin,577289,101006,136003,galucio2015genealogical,galucio2018object
Wirafed	Wirafed	Tupi-Guarani		wir		-61.358125	-12.523397		147062
Tupinamba	Tupinambá	Tupi-Guarani	tpn	tpn	tupi1273	-34.887	-8.1055		21067,553685,barbosa1956curso,navarro2004metodo,navarro2013dicionario
Turiwara	Turiwara	Tupi-Guarani	twt	twt	turi1247	-49.5	-2		10429,156341
Urueuwauwau	Urueuwauwau	Tupi-Guarani	urz	urz	urue1240	-63.8086	-10.9176		557756,140705,betts2012kagwahiva
Uruku	Uruku	Ramarana-Purubora		urk		-62	-8.9		46651
Urumi	Urumi	Ramarana-Purubora	uru	uru	urum1250	-63.85	-9.08		levi1950documents
Warazu	Warazu	Tupi-Guarani	psm	psm	paus1244	-63.1903	-12.8553		ramirez2017warazu
Wayampi	Wayampi	Tupi-Guarani	oym	oym	waya1270	-52.6887	1.73817		64867,142698,302951,575933,65995,grenand1989dictionnaire
Wayoro	Wayoro	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945		loukotka1963documents,575534,301443,galucio2015genealogical,nogueira2013descriccao
Xeta	Xeta	Tupi-Guarani	xet	xet	xeta1241	-52.2266	-24.9408		loukotka1963documents,74861,44029,54700,93778
Xipaya	Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133		84264,472466,575515,76314,110466,rodrigues2006relativizaccao,rodrigues1995etude,fargetti2008consoantes
Yuki	Yuki	Tupi-Guarani	yuq	yuq	yuqu1240	-64.9438	-16.7875		villafane2004gramatica
Zoe	Zo'e	Tupi-Guarani	pto	pto	zoee1240	-55.51	-1.77		cabral2016notas,souza2003Zoe
Zoro	Zoro	Mondé	gvo	gvo-zoro	gavi1246	-61.6752	-10.7235		anonby2013report,felzke2019kinship,moore2005classificaccao,anonby2012historical
