Spatial relations			Spatial relations			Animals			Quantity			Quantity			Animals			Agriculture and vegetation			Animals			Animals			Food and drink			Body			Animals			motion			Warfare and hunting			physical world			emotions and values			warfare and hunting			Agriculture and vegetation			Body			Agriculture and vegetation			emotions and values			Agriculture and vegetation			Food and drink			Basic actions and technology			Animals			Body			Clothing and grooming 			emotions and values			Food and drink			Body			Emotions and values			Animals			Body			Body			Spatial relations			Basic actions and technology			Spatial relations			Animals			Body			Sense perception			Body			motion			Sense perception			Body			Warfare and hunting 			kinship			Agriculture and vegetation			Food and drink			Basic actions and technology			Body			Body			kinship			kinship			kinship			kinship			kinship			physical world			physical world			Body			Body			Agriculture and vegetation			Animals			Agriculture and vegetation			Motion			Animals			Animals			Agriculture and vegetation			Social and political relations 			Food and drink			kinship			Animals			Body			Basic actions and technology / The physical world			physical world			Animals			Animals			Agriculture and vegetation			Sense perception			motion			clothing and grooming			Agriculture and vegetation			clothing and grooming			Animals			Animals			emotions and values			Animals			Basic actions and technology			motion			kinship			kinship			time			Animals			Body			Body			Agriculture and vegetation 			Agriculture and vegetation 			sense perception			basic actions and technology			Animals			The house			Basic actions and technology			clothing and grooming			Food and drink			Basic actions and technology			Sense perception			physical world			Body			Food and drink			Food and drinkFood and drink			Food and drink			Agriculture and vegetation			Animals			motion			Body			Body			motion			Spatial relations			Food and drink			kinship			emotions and values			Body			Body			physical world			Animals			physical world			Animals			Warfare and hunting			Spatial relations			Animals			Food and drink			Food and drink			Agriculture and vegetation			motion			Animals			Food and drink			Body			Cognition			Quantity			Animals			Food and drink			Quantity			Spatial relations			Agriculture and vegetation			kinship			possession			Animals			motion			motion			emotions and values			kinship			Agriculture and vegetation			Sense perception			Spatial relations			Animals			Animals			Body			house			Body			emotions and values			Animals			Body			Body			Sense perception			Body			Sense perception			Animals			Social and political relations			Animals			Miscellaneous function words 			Spatial relations			Basic actions and technology			spatial relations			Food and drink			Body			Sense perception			house			Animals			Animals			Warfare and hunting			Kinship			Miscellaneous function word			Food and drink			Function word			Animals			Animals			Motion			Body			Animals			Body			Basic actions and technology			cognition			physical world			Animals			Animals			emotions and values			Agriculture and vegetation			cognition			motion			Body			Spatial relations			Body			Animals			patialrelations			sense  and perception			sense and perception			Animals			Animals			Animals			kinship			Agriculture and vegetation			Quantity			Body			Food and drink			Animals			physical world			Time			physical world			Animals			kinship			kinship			kinship			physical world			Body			Body			Body			speech and language			Body			Animals			time			time			Body			Time			Motion			Time			Quantity			Spatial relations			Animals			miscellaneous function words			Animals			Animals			Animals			emotions and values			Food and drink			Agriculture and vegetation			Animals			motion			Agriculture and vegetation			Agriculture and vegetation			Animals			Animals			Body			Food and drink			kinship			Food and drink 			Basic actions and technology			Basic actions and technology			Food and drink			Animals			emotions and values			emotions and values			Food and drink			Food and drink			Spatial relations			physical world			Animals			Food and drink			Sense perception			Cognition			The physical world			motion			Food and drink			physical world			Food and drink 			Agriculture and vegetation			Basic actions and technology			Spatial relations			Motion			motion			emotions and values			Body			Food and drink			physical world			speech and language			emotions and values			Animals			Sense perception			Agriculture and vegetation			possession			motion			Relegion and belief			Sense perception			Agriculture and vegetation			Animals			Spatial relations			Body			Speech and language			kinship			kinship			kinship			kinship			Spatial relations			Body			physical world			Body			Animals			Spatial relations			physical world			Animals			Animals			Body			kinship			kinship			Sense perception			speech and language			Animals			Animals			Basic actions and technology 			Animals			Body			physical world			Animals			Body			physical world			Body			Food and drink			physical world			Animals			Basic actions and technology			Sense perception			Food and drink			motion			Body			Animals			Animals			cognition			speech and language			time			Animals			Body			miscellaneous function words			Spatial relations 			possession			miscellaneous function words			Quantity			Agriculture and vegetation			physical world			Body			Animals			Basic actions and technology			Agriculture and vegetation			Animals			Body			Agriculture and vegetation			Time			Time			Body			Body			Animals			Animals			Agriculture and vegetation			Agriculture and vegetation			Animals			Quantity			emotions and values			kinship			Basic actions and technology			Body			Body			social and political relations 			social and political relations 			Body			Animals			The body			motion			emotions and values			Basic actions and technology			Animals			physical world			Animals			kinship			kinship			Basic actions and technology 			Sense perception			miscellaneous function words			Sense perception			miscellaneous function words			kinship			Animals			Animals			physical world			Body			Body			Animals			kinship			Animals			The body			Sense perception			kinship			kinship
em cima (de)			depois (de)			cutia			todos / tudo			só / sozinho			sucuri			urucu			formiga			tamanduá			araticum / jaca de pobre			braço			tatu			chegar			flecha			cinza(s)			vingar(-se)			machado			açaí			costas			babaçu			mau / mal / ruim			taquara / bambu			banana			Cesto / cesta			morcego			banhar-se			miçangas / contas			errar / estar errado			feijão			barba			bonito			abelha			umbigo			umbigo			em baixo de / abaixo			banco			grande			pássaro			morder			preto			sangue			soprar			azul			osso			arco			menino			galho			castanha do Pará			quebrar / romper			seio			respirar			irmão			irmão			irmão			irmão			irmão			queimar			queimar			enterrar			nádegas			roça			borboleta			cabaça, cuia			canoa			macaco prego			capivara			inhame			chefe / cacique			caju			criança			cigarra			garra			barro / argila			nuvem			quati			barata			cacau			frio			vir			pente			milho			algodão			carangueijo			grilo			chorar			mutum			cortar			dançar			filha de mulher			filha de homem			dia			veado			defecar			morrer			cavar			vara de escavação			sujo			fazer			cachorro / cão			porta			pintar / desenhar			vestir(-se)			beber			secar			seco			terra / país			orelha			comer			comer			ovo			embaúba / imbaúba			enguia / peixe elétrico / poraquê			entrar			olho			cara / rosto / face			cair			longe			gordura / banha			pai			temer / ter medo			pena / pluma			dedo			fogo			vagalume / pirilampo			lenha			peixe			anzol			plano / liso			pulga			carne			farinha			flor			voar			mosca			comida			pé			esquecer			quatro			sapo			fruta			cheio			(a)juntar / recolher			jenipapo / genipa			menina			dar			mutum dikʔa			ir			subir			bom / bem			avô			grama			verde			crescer			camaleão			jacú			cabelo			rede			mão			feliz / contente			Gavião			cabeça			curar / sarar			escutar / ouvir			coração			pesado			ouriço / porco-espinho			ajudar			galinha			aqui			esconder			bater			buraco			mel			chifre			quente			casa			(macaco) bugio / guariba			beija-flor / colibri			caçar			marido			eu			ingá			dentro (de)			jacaré			onça			saltar			matar			Guarda-rios / martim-pescador			joelho			faca			saber			lago / lagoa			tocandira / tucandeira			bagre / mandi / surubim-bagre			rir			folha			aprender			sair			perna			deitar(-se)			fígado			lagarto / calango			comprido / longo / alto			olhar			perder-se			piolho			arara			larva			homem			madioca			muitos			remédio			leite			macaco			lua			manhã			montanha / monte / morro			pernilongo / muriçoca / carapanã			MOTHER			sogra(de homem)			sogra(de mulher)			mofo			bigode			boca			unha / garra			nome			pescoço			ninho			novo			noite			nariz			agora			remo			velho			um			abrir			gambá			outro / algum			coruja			paca			pacu			dor / machucado			panela			mamão			papagaio			caminho			pupunha			amendoim			porco do mato / caititu / caitetu			queixada			pênis			pimenta			pessoa / serhumano / alguém			pilão			pilar			furar / espetar			abacaxi			piranha			brincar			brincar (2)			mingau			abóbora / moranga /			pôr / colocar			chuva			rato			cru			vermelho			lembrar(-se)			resina			virar / voltar			maduro			rio			assar			raíz			corda			redondo			remar			correr			triste(za)			saliva			sal			areia			dizer			assustar / amedrontar			escorpião			ver			semente			buscar / procurar			enviar			pajé			afiar			casca / pele			concha			curto			doente			cantar			irmã			irmã			irmã			irmã			sentar(-se)			pele			céu			dormir			bicho preguiça			pequeno			fumaça			caracol / lesma			cobra			roncar			filho de mulher			filho de homen			azedo / amargo			falar			aranha			macaco preto / macaco aranha / coatá			brotar / germinar			esquilo			estar de / em pé / levantar			estrela			arraia			estômago			pedra			forte			sugar / chupar			sol			pintado / bagre (?)			varrer			doce			batat-doce			nadar			rabo / cauda			anta			Irara			ensinar			contar			acabar / terminar			cupim			testículos			aquele / aquilo			grosso			coisa			este			três			espinho			trovão			garganta			carrapato			atar / amarrar			timbó			inhambu / nambu / perdiz / xororó			cansado			fumo / tabaco			hoje			amanhã			língua			dente			tucano			traíra			árvore			tucumã			tartaruga / jaboti / jabuti			dois / duas			feio			tio (materno)			desatar / desamarrar / soltar			urinar			veia			aldeia			pátio /praça			vomitar			urubú			acordar			andar / caminhar			querer			lavar			vespa			água			cera			nós			nós			tecer			molhado			oquê			branco			quem			esposa			gato do mato			cachorro do mato			vento			asa			asa			pica-pau			mulher			verme / minhoca			ferida			amarelo			você / tu			vocês / vós
ABOVE			AFTER			AGOUTI / PACA			ALL			ALONE			ANACONDA			ANATTO			ANT			ANTEATER			MOUNTAIN SOURSOP 			ARM			ARMADILLO			ARRIVE			ARROW			ASH			AVENGE			AXE			AÇAÍ PALM			BACK			BABAÇU			BAD / EVIL			BAMBOO			BANANA			BASKET			BAT			BATHE			BEADS			BE WRONG			BEANS			BEARD			BEAUTIFUL			BEE			BELLY			BELLYBUTTON			BELOW			BENCH			BIG			BIRD			BITE			BLACK			BLOOD			BLOW			BLUE			BONE			BOW			BOY			BRANCH			BRAZIL NUT			BREAK			BREAST			BREATHE			BROTHER			BROTHER (y of m)			BROTHER (o of m)			BROTHER (y of w)			BROTHER (o of w)			BURN (intr)			BURN (tr)			BURY			BUTTOCKS			SLASH / GARDEN			BUTTERFLY			CALABASH / GOURD			CANOE			CAPUCHIN MONKEY			CAPYBARA			CARÁ ROOT / YAM			CHIEF / MASTER / OWNER			CASHEW			CHILD			CICADA			CLAW			CLAY / MUD			CLOUD			COATI			COCKROACH			COCOA			COLD			COME			COMB			CORN / MAIZE			COTTON			CRAB			CRICKET (zool)			CRY			CURASSOW			CUT			DANCE			DAUGHTER OF WOMAN			DAUGHTER OF MAN			DAY			DEER			DEFECATE			DIE			DIG			DIGGING STICK			DIRTY			DO / MAKE			DOG			DOOR			DRAW / PAINT			DRESS UP			DRINK (v)			DRY			DRY (state)			EARTH / LAND			EAR			EAT (intr.)			EAT (tr.)			EGG			Cecropia (Gen.)			ELECTRIC EEL			ENTER			EYE			FACE			FALL			FAR			FAT / GREASE			FATHER			FEAR / BE AFRAID			FEATHER			FINGER			FIRE			FIREFLY / GLOWWORM			FIREWOOD			FISH			FISHHOOK			FLAT			FLEA / CHIGGER			FLESH / MEAT			FLOUR			FLOWER			FLY			FLY (insect)			FOOD			FOOT			FORGET			FOUR			FROG / TOAD			FRUIT			FULL			GATHER			GENIPA			GIRL			GIVE			GNAT / PIUM			GO			GO UP			GOOD / WELL			GRANDFATHER			GRASS			GREEN			GROW			GREEN IGUANA			GUAN / JACU			HAIR			HAMMOCK			HAND			HAPPY			HAWK			HEAD			HEAL			HEAR / LISTEN			HEART			HEAVY			HEDGEHOG			HELP			HEN / CHICKEN			HERE			HIDE			HIT			HOLE			HONEY			HORN			HOT			HOUSE			HOWLER MONKEY			HUMMINGBIRD			HUNT			HUSBAND			I			INGA			INSIDE			JACARÉ / CAIMAN / CROCODILE			JAGUAR			JUMP			KILL			KING FISHER			KNEE			KNIFE			KNOW			LAKE			LARGE ANT / BULLET ANT			LARGE MANDI FISH			LAUGH			LEAF			LEARN			LEAVE / GO OUT			LEG			LAY (DOWN)			LIVER			LIZARD			LONG / TALL			LOOK AT			GETLOST / LOOSEoneS			LOUSE			MACAW			MAGGOT / LARVA			MAN			MANIOC			MANY			MEDICINE			MILK			MONKEY			MOON			MORNING			MOUNTAIN / HILL			MOSQUITO			MOTHER			MOTHER-IN-LAW (of men)			MOTHER-IN-LAW (of woman)			MOULD			MOUSTACHE			MOUTH			NAIL / CLAW			NAME			NECK			NEST			NEW			NIGHT			NOSE			NOW			OAR			OLD (adj)			ONE			OPEN			OPOSSUM / SKUNK			OTHER / SOME			OWL			PACA			PACU FISH			PAIN / HURT			PAN			PAPAYA			PARROT			PATH / WAY			PEACH PALM			PEANUT			PECCARY (collared)			PECCARY (white-lipped)			PENIS			PEPPER			PERSON / HB / SOMEONE			PESTLE			PESTLE (verb)			PIERCE			PINEAPPLE			PIRANHA			PLAY			PLAY (2) (CAUSE TO JUMP)			PORRIDGE			PUMPKIN			PUT			RAIN			RAT			RAW			RED			REMEMBER			RESIN			RETURN / COME BACK			RIPE			RIVER			ROAST			ROOT			ROPE			ROUND			ROW			RUN			SAD(NESS)			SALIVA			SALT			SAND			SAY			SCARE			SCORPION			SEE			SEED			SEEK / LOOK FOR / SEARCH			SEND			SHAMAN			SHARPEN			SHELL / BARK			SHELL			SHORT			SICK / ILL			SING			SISTER			SISTER, younger			SISTER, older			SISTER, of m			SIT			SKIN			SKY			SLEEP			SLOTH			SMALL			SMOKE (n)			SNAIL			SNAKE			SNORE			SON OF WOMAN			SON OF MAN			SOUR / ACID /BITTER			SPEAK			SPIDER			SPIDER MONKEY /			SPROUT			SQUIRREL			STAND			STAR			STINGRAY			STOMACH			STONE			STRONG			SUCK			SUN			SURUBIM_FISH			SWEEP			SWEET			SWEET POTATO			SWIM			TAIL			TAPIR			TAYRA			TEACH			TELL / NARRATE			TERMINATE / FINISH			TERMITE			TESTICLES			THAT			THICK			THING			THIS			THREE			THORN			THUNDER			THROAT			TICK			TIE			TIMBO LIANA			TINAMOU			TIRED			TOBACCO			TODAY			TOMORROW			TONGUE			TOOTH			TOUCAN			TRAHIRA FISH			TREE			TUCUMA_PALM / AWARA			TURTLE			TWO			UGLY			UNCLE (MoBr)			UNTIE			URINATE			VEIN			VILLAGE			VILLAGE SQUARE			VOMIT			VULTURE			WAKE UP			WALK			WANT			WASH			WASP			WATER			WAX			WE (EXCL)			WE (INCL)			WEAVE			WET			WHAT (?)			WHITE			WHO (?)			WIFE			WILD CAT			WILD DOG			WIND			WING			WING(2)			WOODPECKER			WOMAN			WORM (EARTH)			WOUND			YELLOW			YOU (sg)			YOU (pl)
1741			1685			313			98			1964			896						587			181						1673			1885			1387			977			646			495			677			2437			1291						3764			1827			868			1539			1793			138			1860			1390			2574			678			1427			665			1251			3715			1485			2584			1202			937			1403			163			946			176			837			1394			994			1366			1531						3020			1402			1407			1262															2102			141			1719			834			201			1791			411			1970						314			410			2394			2441			2099			2353			2128			1399 / 640			1489			2389			1575			2442			1287			1446			1475			3686			1850			2348			2354			1839			315			1432			1579			1357			1357			1260			1936			676			1494			1418			339			1230			813			2009			1567			3122			814			1401			1786			1398			3603			1247			1336			1336			744						2443			749			1248			1560			1280			1406			1282			1217			1419			1201			1303			221			206			10			227			1074			1633			232			2615			1594			239			1441			1504			256			1301			1523			1500			503			1507			1429			7						1646			1447						695			705			1035			1383			606			1425 / 2382			479			1578			437			2648			2019			1277			1495			307			1256			499			1408 / 1608			1223			1210			1797			1897			1318			136			2486			1433			1667			942			1393			1286			1252			433			1589			1435			1200			1209						1606			1857			1250			1829			1417						1371			1352			3626			624									1355			628			504			1752			1297			2071			1224			632			1203 / 2143			1819			423			1392			1630			/ 2640			1554			927			1198			1372			635			1350			1313			1339			639 / 2118			1509			1216			2257			2256						1165			674			2128			1405			1333			539			1231			1233			1221			1376			3137			1229			1493			1156			309			197 /1241			735			316						1783 / 2561			31			2445			882			2252						2364			435			436			1222			1385			683			225						398			2440			317			1413									864			998			658			1490			1959			156			707			664			581			178			666			1962			670			1218			1395			1849			1519			699			1503			1274			1127			1458			252			1538			1409			714			1468			1127			394			251			1204 / 2127			598			1645			1847			1261			1263												1416			763			1732			1585			2446			1246			778			1543			730			1983			1620			1620			1906			1623			843			434			2076			1628			1442			1430			1910			819			857			785			1421			1343						230			717			159			1439			1220			312						709			1711			1766			883			797			78			1244			738			1214			492			124			1150			1346			1527			1917			2388						1757			974			1283			1329			1205			1380			308						906			2439			112			1498			1548			2692			352						1924			930						1278			1185			1602			1443			1784			1453			1517			948						1130			1131			133			1726			1236			1335			1235			1199			2241			2448			960			1257			1257			2447			962			2350			1109			1424			1213			1213
						42029									794661			584439						1661			1054865																								1100375						1131651									44527						7631												4277																																																									321258																																										854			578228						28561340			326517			8214						71147						2645413												328601			413			484592												1115259			47124114						996						45512062																																																																											61334			206595																																				7487															3197988															421															1553												23769802									49316918																								793235			45508953																																	327162						49953003																											41553			8021												47114559						2820255			328606									7975															403327			46582210																																				1002			1177964									1154718																								473																																																									328504						696			326582			215393									585682			1591						1130861			641309			1037712			357663																					1126520																																																																																																																																																																														166			41555						2846690									46560356																		356148									580962												328036																																																			8669						38459															1593			6903						29370			794307																														2922049																																																311661			328685												1595																		
