NUMBER	ENGLISH	PORTUGUESE	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS	EOL
369	THORN	ESPINHO	AGRICULTURE_AND_VEGETATION	124	THORN	
370	THUNDER	TROVÃO	PHYSICAL_WORLD	1150	THUNDER	
371	THROAT	GARGANTA	BODY	1346	THROAT	
372	THROW	JOGAR /LANÇAR	MOTION	1456	THROW	
373	TICK	CARRAPATO	ANIMALS	1527	TICK	
374	TIE	ATAR / AMARRAR	BASIC_ACTIONS_AND_TECHNOLOGY	1917	TIE	
375	TIMBO LIANA	TIMBÓ	AGRICULTURE_AND_VEGETATION	2388	LIANA	
376	TINAMOU	INHAMBU / NAMBU / PERDIZ / XORORÓ	ANIMALS			8669
377	TIRED	CANSADO	BODY	1757	TIRED	
378	TOBACCO	FUMO / TABACO	AGRICULTURE_AND_VEGETATION	974	TOBACCO	38459
379	TODAY	HOJE	TIME	1283	TODAY	
380	TOMORROW	AMANHÃ	TIME	1329	TOMORROW	
381	TONGUE	LÍNGUA	BODY	1205	TONGUE	
382	TOOTH	DENTE	BODY	1380	TOOTH	
383	TOUCAN	TUCANO	ANIMALS	308	TOUCAN	1593
384	TRAHIRA FISH	TRAÍRA	ANIMALS			6903
385	TREE	ÁRVORE	AGRICULTURE_AND_VEGETATION	906	TREE	
386	TUCUMA_PALM	TUCUMÃ	AGRICULTURE_AND_VEGETATION	2439	TUCUMA PALM	29370
387	TURTLE	TARTARUGA / JABOTI / JABUTI	ANIMALS	112	TURTLE	794307
388	TWO	DOIS / DUAS	QUANTITY	1498	TWO	
389	UGLY	FEIO	EMOTIONS_AND_VALUES	1548	UGLY	
390	UNCLE (MoBr)	TIO (MATERNO)	KINSHIP	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	
391	UNTIE	DESATAR / DESAMARRAR / SOLTAR	BASIC_ACTIONS_AND_TECHNOLOGY	352	UNTIE	
392	URINATE	URINAR	BODY			
393	VEIN	VEIA	BODY	1924	VEIN	
394	VILLAGE	ALDEIA	SOCIAL_AND_POLITICAL_RELATIONS	930	VILLAGE	
395	VILLAGE SQUARE	PÁTIO /PRAÇA	SOCIAL_AND_POLITICAL_RELATIONS			
396	VOMIT	VOMITAR	BODY	1278	VOMIT	
397	VULTURE	URUBÚ	ANIMALS	1185	VULTURE	2922049
398	WAKE UP	ACORDAR	THE_BODY	1602	WAKE UP	
399	WALK	ANDAR / CAMINHAR	MOTION	1443	WALK	
400	WANT	QUERER	EMOTIONS_AND_VALUES	1784	WANT	
401	WASH	LAVAR	BASIC_ACTIONS_AND_TECHNOLOGY	1453	WASH	
402	WASP	VESPA	ANIMALS	1517	WASP	
403	WATER	ÁGUA	PHYSICAL_WORLD	948	WATER	
404	WATERFALL	CACHOEIRA	PHYSICAL_WORLD	943	WATERFALL	
405	WAX	CERA	ANIMALS			
406	WE (EXCL)	NÓS	KINSHIP	1130	WE (EXCLUSIVE)	
407	WE (INCL)	NÓS	KINSHIP	1131	WE (INCLUSIVE)	
408	WEAVE	TECER	BASIC_ACTIONS_AND_TECHNOLOGY	133	WEAVE	
409	WET	MOLHADO	SENSE_PERCEPTION	1726	WET	
410	WHAT	OQUÊ	MISCELLANEOUS_FUNCTION_WORDS	1236	WHAT	
411	WHITE	BRANCO	SENSE_PERCEPTION	1335	WHITE	
412	WHO	QUEM	MISCELLANEOUS_FUNCTION_WORDS	1235	WHO	
413	WIFE	ESPOSA	KINSHIP	1199	WIFE	
414	WILD CAT	GATO DO MATO	ANIMALS	2241	WILD CAT	311661
415	WILD DOG	CACHORRO DO MATO	ANIMALS	2448	WILD DOG	328685
416	WIND	VENTO	PHYSICAL_WORLD	960	WIND	
417	WING	ASA	BODY	1257	WING	
418	WOODPECKER	PICA-PAU	ANIMALS	2447	WOODPECKER	1595
419	WOMAN	MULHER	KINSHIP	962	WOMAN	
420	WORM (EARTH)	VERME / MINHOCA	ANIMALS	2350	EARTHWORM	
421	WOUND	FERIDA	THE_BODY	1109	WOUND	
422	YELLOW	AMARELO	SENSE_PERCEPTION	1424	YELLOW	
423	YESTERDAY	ONTEM	FUNCTION_WORD	1174	YESTERDAY	
424	YOU (sg)	VOCÊ / TU	KINSHIP	1213	YOU	
425	YOU (pl)	VOCÊS / VÓS	KINSHIP	1213	YOU	
426	NECKLACE	COLAR	CLOTHING_AND_GROOMING	1961	NECKLACE	
427	RED MACAW	ARARA	ANIMALS	1630	MACAW	45511630
428	HARPY EAGLE	GAVIÃO-REAL / HARPIA	ANIMALS			45511531
429	EARRING	BRINCO	CLOTHING_AND_GROOMING	770	EARRING	
430	SHRIMP	CAMARÃO	ANIMALS	2349	SHRIMP	
431	BABY CARRIER	TIPÓIA	ANIMALS			
432	ENEMY	INIMIGO	SOCIAL_AND_POLITICAL_RELATIONS	1358	ENEMY	
433	COOK (SOMETHING)	COZINHAR	FOOD_AND_DRINK	1100	COOK (SOMETHING)	
434	PLANT (SOMETHING)	PLANTAR	AGRICULTURE_AND_VEGETATION	1486	PLANT (SOMETHING)	
435	RATTLE	CHOCALHO / MARACÁ	SPEECH_AND_LANGUAGE	300	RATTLE	
436	VAGINA	VAGINA	BODY	1836	VAGINA	
437	FOREST	FLORESTA / MATA	PHYSICAL_WORLD	420	FOREST	
438	LIGHTNING	RELÁMPAGO/RAIO	PHYSICAL_WORLD	1564	LIGHTNING	
439	GRILL	JIRAU/MOQUÉM/GRELHA	BASIC_ACTIONS_AND_TECHNOLOGY			
440	SMELL	CHEIRO / ODOR	SENSE_PERCEPTION	3704	ODOR (SMELL)	
441	STENCH	FEDOR / MAU CHEIRO	SENSE_PERCEPTION			
442	SOUND	BARULHO	SENSE_PERCEPTION	1811	SOUND OR NOISE	
443	CLOTHES	ROUPA	CLOTHING_AND_GROOMING	1895	CLOTHES	
444	MATERNAL GRANDMOTHER	AVÓ MATERNA	KINSHIP	2177	MATERNAL GRANDMOTHER	
445	PATERNAL GRANDMOTHER	AVÓ PATERNO	KINSHIP	3015	PATERNAL GRANDMOTHER	
