Doculect	Subfamily	ISO	ID	Glottolog	Longitude	Latitude	Concept	Form	Cognate_Class	Comment
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	AFTER	ŋəjdʒom / ŋebədʒe		
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	AFTER	hawɨj / -rẽ	5	
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	AFTER	ʃowe	5	
Tapirapé (Apyãwa)	Tupí-Guaraní	taf	taf	tapi1254	-50.5438	-10.5373	AFTER	ãʔẽre / -ire / rewe	1	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	AFTER	re / rire	1	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	AFTER	-ire	1	
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	AFTER	-re	1	
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	AFTER	aẽre / re	1	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	AFTER	aẽre / re	1	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	AFTER	aẽre / re	1	
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	AFTER	aẽre / re	1	
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	AFTER	ewiri / -ire	1	
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	AFTER	riri	1	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	AFTER	kor / kobete	4	
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	AFTER	ajawire / lile	1	
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	AFTER	arahã / aja / ajameʔẽ		
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	AFTER	riré	1	
Asurini do Xingu	Tupí-Guaraní	asn	asn	xing1248	-52.321	-4.13463	AFTER	arire	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	AFTER	riré / rojré / re	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	AFTER	rie / arirewã	1	
Yuki	Tupí-Guaraní	yuq	yuq	yuqu1240	-64.9438	-16.7875	AFTER	dérekja	3	
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	AFTER	re	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	AFTER	akere / ande		
Warazu (Pauserna)	Tupí-Guaraní	psm	psm	paus1244	-63.1903	-12.8553	AFTER	-íre	1	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	AFTER	hãe-ma / ha-woj / hoko-gwi	2	
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	AFTER	rire	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	AFTER	riré	1	
Old Guaraní †	Tupí-Guaraní	#??	olg	????	-54.29	-26.25	AFTER	riré	1	
Xetá	Tupí-Guaraní	xet	xet	xeta1241	-52.2266	-24.9408	AFTER	ajre	1	
Kaiowá	Tupí-Guaraní	kgk	kgk	kaiw1246	-54.6815	-24.589	AFTER	riré	1	
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	AFTER	hama / ma	2	
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	AFTER	isakapɨrɨ / rasakapɨrɨ		Woman's speech / man's speech 
Cocama-Cocamilla	nonTupían	cod	cod	coca1259	-74	-4.5	AFTER	jantsui, yaepetsui / riantsui, raepetsui		Woman's speech / man's speech 
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	AGOUTI / PACA	βakĩĩ	2	
Ntogapíd (Itogapúk) †	Ramarana-Purubora	##?	nto	????	-61.66003	-10.452133	AGOUTI / PACA	mãkaiã	2	
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	AGOUTI / PACA	mãkɨ̃ja	2	
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	AGOUTI / PACA	ŋgʷakĩjã	2	
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	AGOUTI / PACA	takamʔa		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	AGOUTI / PACA	pakãja	2	
Mekens (Sakurabiat)	Tuparí	skf	skf	saki1248	-62.0927	-13.054	AGOUTI / PACA	mãkɨ̃ja	2	
Cinta-Larga	Mondé	cin	cin	cint1239	-60.8312	-10.5879	AGOUTI / PACA	wakí	2	
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	AGOUTI / PACA	βaakĩĩ	2	
Aruá	Mondé	arx	arx	arua1261	-62.44	-12.12	AGOUTI / PACA	βakĩĩ	2	
Matanau †	Mondé	?##	mat	????	-60.682	-5.336	AGOUTI / PACA	wakɨ̃	2	uaküñ
Zoró	Mondé	gvo	gvo-zoro	gavi1246	-61.6752	-10.7235	AGOUTI / PACA	βakĩĩ	2	
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	AGOUTI / PACA	wakĩĩ	2	
Karitiana	Arikem	ktn	ktn	kari1311	-64.1522	-9.37937	AGOUTI / PACA	mɨ̃no	4	
Arikem	Arikem	ait	ait	arik1264	-63.74	-8.92	AGOUTI / PACA	mundá	4	
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	AGOUTI / PACA	kuzi	1	
