Doculect	Subfamily	ISO	ID	Glottolog	Longitude	Latitude	Concept	Form	Cognate_Class	Comment
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	BE WRONG	tʃavi	1	
Warazu (Pauserna)	Tupí-Guaraní	psm	psm	paus1244	-63.1903	-12.8553	BE WRONG	awi	1	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	BE WRONG	javɨ	1	
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	BE WRONG	aβɨ	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	BE WRONG	javɨ	1	
Old Guaraní †	Tupí-Guaraní	#??	olg	????	-54.29	-26.25	BE WRONG	aβɨ	1	
Guayaki (Aché)	Tupí-Guaraní	guq	guq	ache1246	-56.4697	-25.5865	BE WRONG	dʒãpãma		
Kaiowá	Tupí-Guaraní	kgk	kgk	kaiw1246	-54.6815	-24.589	BE WRONG	jejaβɨ	1	
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	BE WRONG	kawiã		
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	BE WRONG	supara		
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	BEANS	ʃsakakɨj		
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	BEANS	kakeʔ		
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	BEANS	ŋgojoto		
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	BEANS	tobeko		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	BEANS	komata	1	
Mekens (Sakurabiat)	Tuparí	skf	skf	saki1248	-62.0927	-13.054	BEANS	komãta	1	
Cinta-Larga	Mondé	cin	cin	cint1239	-60.8312	-10.5879	BEANS	kurakap	5	
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	BEANS	korakáv	5	
Aruá	Mondé	arx	arx	arua1261	-62.44	-12.12	BEANS	alitiʔa		
Zoró	Mondé	gvo	gvo-zoro	gavi1246	-61.6752	-10.7235	BEANS	kurakap	5	
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	BEANS	miʃãgap		
Arikem	Arikem	ait	ait	arik1264	-63.74	-8.92	BEANS	kakeʔ		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	BEANS	piu	8	
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	BEANS	puju	8	
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	BEANS	piʃaoda / kadʒɨrɨ̃ba / wetəj	4 / 	Borrowing from Portuguese feijão (4) + classifier
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	BEANS	witujla		
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	BEANS	kumanã	1	
Awetí	Awetí	awe	awe	awet1244	-53.391944	-12.381944	BEANS	kumanaʔi	1	
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	BEANS	komanaʔi	1	
Asurini do Tocantins	Tupí-Guaraní	asu	asu	toca1235	-49.8991	-3.59359	BEANS	komana	1	
Suruí (Pará)	Tupí-Guaraní	mdz	mdz	suru1262	-48.59	-5.93	BEANS	kumanarona	1	
Tapirapé (Apyãwa)	Tupí-Guaraní	taf	taf	tapi1254	-50.5438	-10.5373	BEANS	komanã	1	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	BEANS	kumana	1	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	BEANS	kumanaʔi	1	
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	BEANS	komanaʔi	1	
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	BEANS	kumanatai	1	
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	BEANS	kumana	1	
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	BEANS	kamaraʔi	1	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	BEANS	kumana	1	
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	BEANS	kumãnasĩ	1	
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	BEANS	kumanaʔi	1	
Anambé	Tupí-Guaraní	aan	aan	anam1249	-49.303	-2.71119	BEANS	kumanã	1	
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	BEANS	kumana	1	
Asurini do Xingu	Tupí-Guaraní	asn	asn	xing1248	-52.321	-4.13463	BEANS	kumanaʔĩ	1	
Avá-Canoeiro	Tupí-Guaraní	avv	avv	avac1239	-48.1336	-13.6081	BEANS	kumana	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	BEANS	komana	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	BEANS	kundamirĩ	1	
Língua Geral Paulista (Tupi austral) †	Tupí-Guaraní	tpʷ	tpʷ	tupi1274	-46.38	-23.95	BEANS	komenda	1	
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	BEANS	kumana	1	
Warazu (Pauserna)	Tupí-Guaraní	psm	psm	paus1244	-63.1903	-12.8553	BEANS	peðə	3	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	BEANS	kumana	1	
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	BEANS	kõmana	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	BEANS	kumana	1	
Guayaki (Aché)	Tupí-Guaraní	guq	guq	ache1246	-56.4697	-25.5865	BEANS	kbereã		
Kaiowá	Tupí-Guaraní	kgk	kgk	kaiw1246	-54.6815	-24.589	BEANS	ʃaʔĩ / feʃãw	4 / A	borrowing from Portuguese feijão (A)
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	BEANS	kɨmanda	1	
Chiripá (Ñandeva / Avá-Guarani)	Tupí-Guaraní	nhd	nhd	chir1286	-55.05	-25.65	BEANS	kumbanda / feʃãw	1 / A	borrowing from Portuguese feijão (A)
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	BEANS	purutu		
Ntogapíd (Itogapúk) †	Ramarana-Purubora	##?	nto	????	-61.66003	-10.452133	BEARD	ɲjokoɲjum		
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	BEARD	ɲikutʃap		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	BEARD	akõja		
Aruá	Mondé	arx	arx	arua1261	-62.44	-12.12	BEARD	betseb		
Karitiana	Arikem	ktn	ktn	kari1311	-64.1522	-9.37937	BEARD	nhɨkkɨjɨ̃mõ		
Arikem	Arikem	ait	ait	arik1264	-63.74	-8.92	BEARD	kʷɨsaba		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	BEARD	ɲaβutapa		
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	BEARD	pɨtahaʔ		
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	BEARD	bidap		
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	BEARD	biðab		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	BEARD	enɨwahaw	1	
Suruí (Pará)	Tupí-Guaraní	mdz	mdz	suru1262	-48.59	-5.93	BEARD	enɨwahawa	1	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	BEARD	amutaw	1	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	BEARD	mutaw	2	
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	BEARD	ajvanindiva		
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	BEARD	enɨβahaβa	1	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	BEARD	enɨβahaβa	1	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	BEARD	enɨβahaβa	1	
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	BEARD	enɨβahaβa	1	
Tupi do Machado (Wirafed) †	Tupí-Guaraní	###	wir	????	-61.358125	-12.523397	BEARD	afuáb / endiwaáb	/ 1	
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	BEARD	nuwaap	3	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	BEARD	endewa	1	
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	BEARD	erenɨwara	1	
Zo'e	Tupí-Guaraní	pto	pto	zoee1240	-55.51	-1.77	BEARD	edwɨaraha	1	
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	BEARD	nɨwa	1	
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	BEARD	tsĩhwrap	4	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	BEARD	enɨβaaβ	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	BEARD	iniwa	1	
Yuki	Tupí-Guaraní	yuq	yuq	yuqu1240	-64.9438	-16.7875	BEARD	rorũmba	5	
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	BEARD	endiba	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	BEARD	mbuta	6	
Warazu (Pauserna)	Tupí-Guaraní	psm	psm	paus1244	-63.1903	-12.8553	BEARD	amuta	6	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	BEARD	endɨβa	1	
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	BEARD	endɨβa	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	BEARD	endɨβa	1	
Old Guaraní †	Tupí-Guaraní	#??	olg	????	-54.29	-26.25	BEARD	endiβa	1	
Guayaki (Aché)	Tupí-Guaraní	guq	guq	ache1246	-56.4697	-25.5865	BEARD	buta		
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	BEARD	tɨndɨwa	1	
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	BEARD	muta		
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	BEAUTIFUL	toap.ndia		see.want
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	BEAUTIFUL	tʃame		
Cinta-Larga	Mondé	cin	cin	cint1239	-60.8312	-10.5879	BEAUTIFUL	rarã		
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	BEAUTIFUL	parùhr		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	BEAUTIFUL	pɨa		
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	BEAUTIFUL	ipɨ́á		
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	BEAUTIFUL	dip		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	BEAUTIFUL	aro		
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	BEAUTIFUL	katu	1	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	BEAUTIFUL	katu	1	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	BEAUTIFUL	katu	1	
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	BEAUTIFUL	katu	1	
Tupi do Machado (Wirafed) †	Tupí-Guaraní	###	wir	????	-61.358125	-12.523397	BEAUTIFUL	katu	1	
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	BEAUTIFUL	katu	1	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	BEAUTIFUL	wareʔete		
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	BEAUTIFUL	poraŋ		
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	BEAUTIFUL	turã		
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	BEAUTIFUL	porã		
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	BEAUTIFUL	kapɨrɨ		
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	BEAUTIFUL	ɨrá		
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	BEE	ʃãwak		
Ntogapíd (Itogapúk) †	Ramarana-Purubora	##?	nto	????	-61.66003	-10.452133	BEE	pewid		
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	BEE	akɨja		
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	BEE	eŋgʷit		
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	BEE	ewittap		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	BEE	itʃap		jati (sp)
Mekens (Sakurabiat)	Tuparí	skf	skf	saki1248	-62.0927	-13.054	BEE	ekʷitsap		
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	BEE	iit		
Zoró	Mondé	gvo	gvo-zoro	gavi1246	-61.6752	-10.7235	BEE	iit		
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	BEE	joinaap		
Karitiana	Arikem	ktn	ktn	kari1311	-64.1522	-9.37937	BEE	eet	1	
Arikem	Arikem	ait	ait	arik1264	-63.74	-8.92	BEE	era	1	
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	BEE	wɨa		
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	BEE	awɨlʒa		
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	BEE	eit / ikṍn	1	
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	BEE	íkõ		
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	BEE	awiʔa		
Awetí	Awetí	awe	awe	awet1244	-53.391944	-12.381944	BEE	tap		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	BEE	eʃa		
Asurini do Tocantins	Tupí-Guaraní	asu	asu	toca1235	-49.8991	-3.59359	BEE	eweŋa	1	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	BEE	eir		
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	BEE	hairu		
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	BEE	ehiruwa		
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	BEE	hehir		
Tupi do Machado (Wirafed) †	Tupí-Guaraní	###	wir	????	-61.358125	-12.523397	BEE	eít	1	
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	BEE	adʒurue		
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	BEE	kaʔeir		
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	BEE	ka		
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	BEE	eit	1	
Asurini do Xingu	Tupí-Guaraní	asn	asn	xing1248	-52.321	-4.13463	BEE	ejra	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	BEE	eira	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	BEE	ira	1	
Língua Geral Paulista (Tupi austral) †	Tupí-Guaraní	tpʷ	tpʷ	tupi1274	-46.38	-23.95	BEE	meri		species
Yuki	Tupí-Guaraní	yuq	yuq	yuqu1240	-64.9438	-16.7875	BEE	kigʷẽ		
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	BEE	eiru	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	BEE	irao	1	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	BEE	eitúu		
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	BEE	ei(ru)	1	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	BEE	eiru / eira / rúa		
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	BEE	mbaetu		
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	BEE	kawi		
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	BELLY	ʃuruaka		
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	BELLY	ɲeɨpe / ahunhɨʔa		
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	BELLY	patak		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	BELLY	eo		
Mekens (Sakurabiat)	Tuparí	skf	skf	saki1248	-62.0927	-13.054	BELLY	eɨt		
Cinta-Larga	Mondé	cin	cin	cint1239	-60.8312	-10.5879	BELLY	bakulá		
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	BELLY	piap		
Aruá	Mondé	arx	arx	arua1261	-62.44	-12.12	BELLY	piʔap		
Zoró	Mondé	gvo	gvo-zoro	gavi1246	-61.6752	-10.7235	BELLY	kolia		
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	BELLY	kojoa		
Karitiana	Arikem	ktn	ktn	kari1311	-64.1522	-9.37937	BELLY	petɨ		
Arikem	Arikem	ait	ait	arik1264	-63.74	-8.92	BELLY	pera		
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	BELLY	waza	7	
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	BELLY	wãza	7	
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	BELLY	ʔək		
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	BELLY	ʔɨk		
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	BELLY	pɨrumʔa	2	
Awetí	Awetí	awe	awe	awet1244	-53.391944	-12.381944	BELLY	pɨlup	2	
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	BELLY	pɨroʔo	2	
Suruí (Pará)	Tupí-Guaraní	mdz	mdz	suru1262	-48.59	-5.93	BELLY	ipɨriʔo		
Tapirapé (Apyãwa)	Tupí-Guaraní	taf	taf	tapi1254	-50.5438	-10.5373	BELLY	ewek	1	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	BELLY	pɨruʔã	2	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	BELLY	puruʔa	2	
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	BELLY	ajtoa		
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	BELLY	eβej	1	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	BELLY	aetũʔã / ewega		
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	BELLY	aetũʔã / ewega		
Jiahoi	Tupí-Guaraní	???	dia	diah1239	-62.27	-8.04	BELLY	aetũʔã		
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	BELLY	ewega	1	
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	BELLY	ewek	1	
Araweté	Tupí-Guaraní	awt	awt	araw1273	-52.5001	-4.90246	BELLY	piriʔi	2	
Guajá	Tupí-Guaraní	gvj	gvj	guaj1256	-46.3683	-3.93574	BELLY	parawã	2	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	BELLY	ɨe	3	
Wayampí	Tupí-Guaraní	oym	oym	waya1270	-52.6887	1.73817	BELLY	akape	5	
Zo'e	Tupí-Guaraní	pto	pto	zoee1240	-55.51	-1.77	BELLY	puruãʔ	2	
Ka'apor (Urubu) 	Tupí-Guaraní	urb	urb	urub1250	-46.2204	-2.46455	BELLY	puruʔã	2	
Kamayura	Tupí-Guaraní	kay	kay	kama1373	-53.4651	-12.2661	BELLY	pɨruʔã	2	
Avá-Canoeiro	Tupí-Guaraní	avv	avv	avac1239	-48.1336	-13.6081	BELLY	ɨpuã	6	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	BELLY	puruʔã	2	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	BELLY	muruã	2	
Yuki	Tupí-Guaraní	yuq	yuq	yuqu1240	-64.9438	-16.7875	BELLY	ɨe	3	
Guarayo	Tupí-Guaraní	gyr	gyr	guar1292	-61.6934	-15.8247	BELLY	ie	3	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	BELLY	ie	3	
Warazu (Pauserna)	Tupí-Guaraní	psm	psm	paus1244	-63.1903	-12.8553	BELLY	puruʔã	2	
Chiriguano	Tupí-Guaraní	gui	gui	east2555	-63.37	-20.42	BELLY	ɨe	3	
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	BELLY	puruʔã	2	
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	BELLY	ɨe	3	
Old Guaraní †	Tupí-Guaraní	#??	olg	????	-54.29	-26.25	BELLY	ɨe	3	
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	BELLY	ɨrɨʔe / pɨʔa	3	
Chiripá (Ñandeva / Avá-Guarani)	Tupí-Guaraní	nhd	nhd	chir1286	-55.05	-25.65	BELLY	puruʔã		
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	BELLY	siwika		
Cocama-Cocamilla	nonTupían	cod	cod	coca1259	-74	-4.5	BELLY	tseweka		
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	BELLYBUTTON	toka		
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	BELLYBUTTON	magólí		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	BELLYBUTTON	pɨroʔo	1	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	BELLYBUTTON	ponuʔã	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	BELLYBUTTON	puruʔã	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	BELLYBUTTON	e-iruã		
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	BELLYBUTTON	puruʔã	1	
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	BELLYBUTTON	mɨrua	1	
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	BELOW	ábìri		
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	BELOW	diotpe		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	BELOW	wɨri	1	
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	BELOW	ʔgʷɨr	1	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	BELOW	ʔgʷɨr	1	
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	BELOW	ʔgʷɨr	1	
Tupi do Machado (Wirafed) †	Tupí-Guaraní	###	wir	????	-61.358125	-12.523397	BELOW	wɨripe	1	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	BELOW	wɨrarupi /  wɨrakotɨ	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	BELOW	gʷɨri / gʷɨrɨpe	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	BELOW	uwirupi	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	BELOW	ibikiti		
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	BELOW	gʷɨrɨ / gʷɨʔi pe		
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	BELOW	ɨvɨpe		
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	BELOW	wɨrɨpɨ	1	
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	BENCH	jam	3	*< in + ap
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	BENCH	jam	3	
Xipaya	Juruna	xiy	xiy	xipa1240	-49.948	-4.133	BENCH	pɨkápa	1	
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	BENCH	pɨkáhá	1	
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	BENCH	wajkṍn	4	
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	BENCH	aíkõn	4	
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	BENCH	tenaw / apɨkaw	2 / 1	
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	BENCH	ʔapɨkawa	1	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	BENCH	ʔapɨkawa	1	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	BENCH	ʔapɨkawa	1	
Kayabí	Tupí-Guaraní	kyz	kyz	kaya1329	-55.5479	-11.2747	BENCH	ʔapɨkawa	1	
Emerillon (Tekó)	Tupí-Guaraní	eme	eme	emer1243	-52.3699	3.23694	BENCH	apɨka	1	
Tupinambá †	Tupí-Guaraní	tpn	tpn	tupi1273	-34.887	-8.1055	BENCH	apɨka(p̠uku)	1	
Nheengatu	Tupí-Guaraní	yrl	yrl	nhen1239	-66.9646	1.04503	BENCH	wapikasawa	1	
Sirionó	Tupí-Guaraní	srq	srq	siri1273	-63.9688	-15.5298	BENCH	erenda		
Mbyá	Tupí-Guaraní	gun	gun	mbya1239	-52.711	-26.0188	BENCH	enda / ɲaĩatɨ		
Guarani Paraguay	Tupí-Guaraní	gug	gug	para1311	-57.08816	-25.60551	BENCH	apɨka		
Tapiete	Tupí-Guaraní	tpj	tpj	tapi1253	-62.684	-21.4169	BENCH	toko		
Omagua	nonTupían	omg	omg	omag1248	-69.17	-3.53	BENCH	japɨkatupa	1	
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226	BIG	rudede		
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	BIG	tʃato		
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	BIG	akara		
Tuparí	Tuparí	tpr	tpr	tupa1250	-62.2544	-11.8884	BIG	erat		
