							Spatial_relations			Spatial_relations			Animals			Quantity			Quantity			Animals			Agriculture_and_vegetation			Animals			Animals			Food_and_drink			Body			Animals			motion			Warfare_and_hunting			physical_world			emotions_and_values			warfare_and_hunting			Agriculture_and_vegetation			Body			Agriculture_and_vegetation			emotions_and_values			Agriculture_and_vegetation			Food_and_drink			Basic_actions_and_technology			Animals			Body			Clothing_and_grooming_			emotions_and_values			Food_and_drink			Body			Emotions_and_values			Animals			Body			Body			Spatial_relations			Basic_actions_and_technology			Spatial_relations			Animals			Body			Sense_perception			Body			motion			Sense_perception			Body			Warfare_and_hunting_			kinship			Agriculture_and_vegetation			Food_and_drink			Basic_actions_and_technology			Body			Body			kinship			kinship			kinship			kinship			kinship			physical_world			physical_world			Body			Body			Agriculture_and_vegetation			Animals			Agriculture_and_vegetation			Motion			Animals			Animals			Agriculture_and_vegetation			Social_and_political_relations_			Food_and_drink			kinship			Animals			Body			Basic_actions_and_technology / The_physical_world			physical_world			Animals			Animals			Agriculture_and_vegetation			Sense_perception			motion			clothing_and_grooming			Agriculture_and_vegetation			clothing_and_grooming			Animals			Animals			emotions_and_values			Animals			Basic_actions_and_technology			motion			kinship			kinship			time			Animals			Body			Body			Agriculture_and_vegetation_			Agriculture_and_vegetation_			sense_perception			basic_actions_and_technology			Animals			The_house			Basic_actions_and_technology			clothing_and_grooming			Food_and_drink			Basic_actions_and_technology			Sense_perception			physical_world			Body			Food_and_drink			Food_and_drinkFood_and_drink			Food_and_drink			Agriculture_and_vegetation			Animals			motion			Body			Body			motion			Spatial_relations			Food_and_drink			kinship			emotions_and_values			Body			Body			physical_world			Animals			physical_world			Animals			Warfare_and_hunting			Spatial_relations			Animals			Food_and_drink			Food_and_drink			Agriculture_and_vegetation			motion			Animals			Food_and_drink			Body			Cognition			Quantity			Animals			Food_and_drink			Quantity			Spatial_relations			Agriculture_and_vegetation			kinship			possession			Animals			motion			motion			emotions_and_values			kinship			Agriculture_and_vegetation			Sense_perception			Spatial_relations			Animals			Animals			Body			house			Body			emotions_and_values			Animals			Body			Body			Sense_perception			Body			Sense_perception			Animals			Social_and_political_relations			Animals			Miscellaneous_function_words_			Spatial_relations			Basic_actions_and_technology			spatial_relations			Food_and_drink			Body			Sense_perception			house			Animals			Animals			Warfare_and_hunting			Kinship			Miscellaneous_function_word			Food_and_drink			Function_word			Animals			Animals			Motion			Body			Animals			Body			Basic_actions_and_technology			cognition			physical_world			Animals			Animals			emotions_and_values			Agriculture_and_vegetation			cognition			motion			Body			Spatial_relations			Body			Animals			patialrelations			sense_and_perception			sense_and_perception			Animals			Animals			Animals			kinship			Agriculture_and_vegetation			Quantity			Body			Food_and_drink			Animals			physical_world			Time			physical_world			Animals			kinship			kinship			kinship			physical_world			Body			Body			Body			speech_and_language			Body			Animals			time			time			Body			Time			Motion			Time			Quantity			Spatial_relations			Animals			miscellaneous_function_words			Animals			Animals			Animals			emotions_and_values			Food_and_drink			Agriculture_and_vegetation			Animals			motion			Agriculture_and_vegetation			Agriculture_and_vegetation			Animals			Animals			Body			Food_and_drink			kinship			Food_and_drink_			Basic_actions_and_technology			Basic_actions_and_technology			Food_and_drink			Animals			emotions_and_values			emotions_and_values			Food_and_drink			Food_and_drink			Spatial_relations			physical_world			Animals			Food_and_drink			Sense_perception			Cognition			The_physical_world			motion			Food_and_drink			physical_world			Food_and_drink_			Agriculture_and_vegetation			Basic_actions_and_technology			Spatial_relations			Motion			motion			emotions_and_values			Body			Food_and_drink			physical_world			speech_and_language			emotions_and_values			Animals			Sense_perception			Agriculture_and_vegetation			possession			motion			Relegion_and_belief			Sense_perception			Agriculture_and_vegetation			Animals			Spatial_relations			Body			Speech_and_language			kinship			kinship			kinship			kinship			Spatial_relations			Body			physical_world			Body			Animals			Spatial_relations			physical_world			Animals			Animals			Body			kinship			kinship			Sense_perception			speech_and_language			Animals			Animals			Basic_actions_and_technology_			Animals			Body			physical_world			Animals			Body			physical_world			Body			Food_and_drink			physical_world			Animals			Basic_actions_and_technology			Sense_perception			Food_and_drink			motion			Body			Animals			Animals			cognition			speech_and_language			time			Animals			Body			miscellaneous_function_words			Spatial_relations_			possession			miscellaneous_function_words			Quantity			Agriculture_and_vegetation			physical_world			Body			Animals			Basic_actions_and_technology			Agriculture_and_vegetation			Animals			Body			Agriculture_and_vegetation			Time			Time			Body			Body			Animals			Animals			Agriculture_and_vegetation			Agriculture_and_vegetation			Animals			Quantity			emotions_and_values			kinship			Basic_actions_and_technology			Body			Body			social_and_political_relations_			social_and_political_relations_			Body			Animals			The_body			motion			emotions_and_values			Basic_actions_and_technology			Animals			physical_world			Animals			kinship			kinship			Basic_actions_and_technology_			Sense_perception			miscellaneous_function_words			Sense_perception			miscellaneous_function_words			kinship			Animals			Animals			physical_world			Body			Body			Animals			kinship			Animals			The_body			Sense_perception			_Function_word			kinship			kinship			
							em cima (de)			depois (de)			cutia			todos / tudo			só / sozinho			sucuri			urucu			formiga			tamanduá			araticum / jaca de pobre			braço			tatu			chegar			flecha			cinza (s)			vingar (-se)			machado			açaí			costas			babaçu			mau / mal / ruim			taquara / bambu			banana			Cesto / cesta			morcego			banhar-se			miçangas / contas			errar / estar errado			feijão			barba			bonito			abelha			umbigo			umbigo			em baixo de / abaixo			banco			grande			pássaro			morder			preto			sangue			soprar			azul			osso			arco			menino			galho			castanha do Pará			quebrar / romper			seio			respirar			irmão			irmão			irmão			irmão			irmão			queimar			queimar			enterrar			nádegas			roça			borboleta			cabaça, cuia			canoa			macaco prego			capivara			inhame			chefe / cacique			caju			criança			cigarra			garra			barro / argila			nuvem			quati			barata			cacau			frio			vir			pente			milho			algodão			carangueijo			grilo			chorar			mutum			cortar			dançar			filha de mulher			filha de homem			dia			veado			defecar			morrer			cavar			vara de escavação			sujo			fazer			cachorro / cão			porta			pintar / desenhar			vestir (-se)			beber			secar			seco			terra / país			orelha			comer			comer			ovo			embaúba / imbaúba			enguia / peixe elétrico / poraquê			entrar			olho			cara / rosto / face			cair			longe			gordura / banha			pai			temer / ter medo			pena / pluma			dedo			fogo			vagalume / pirilampo			lenha			peixe			anzol			plano / liso			pulga			carne			farinha			flor			voar			mosca			comida			pé			esquecer			quatro			sapo			fruta			cheio			 (a)juntar / recolher			jenipapo / genipa			menina			dar			pernilongo / muriçoca / mosquito			ir			subir			bom / bem			avô			grama			verde			crescer			camaleão			jacú			cabelo			rede			mão			feliz / contente			Gavião			cabeça			curar / sarar			escutar / ouvir			coração			pesado			ouriço / porco-espinho			ajudar			galinha			aqui			esconder			bater			buraco			mel			chifre			quente			casa			 (macaco)bugio / guariba			beija-flor / colibri			caçar			marido			eu			ingá			dentro (de)			jacaré			onça			saltar			matar			Guarda-rios / martim-pescador			joelho			faca			saber			lago / lagoa			tocandira / tucandeira			bagre / mandi / surubim-bagre			rir			folha			aprender			sair			perna			deitar (-se)			fígado			lagarto / calango			comprido / longo / alto			olhar			perder-se			piolho			arara			larva			homem			madioca / macaxeira / aipim			muitos			remédio			leite			macaco			lua			manhã			montanha / monte / morro			pernilongo / muriçoca / carapanã			MOTHER			sogra (de homem)			sogra (de mulher)			mofo			bigode			boca			unha / garra			nome			pescoço			ninho			novo			noite			nariz			agora			remo			velho			um			abrir			gambá			outro / algum			coruja			paca			pacu			dor / machucado			panela			mamão			papagaio			caminho			pupunha			amendoim			porco do mato / caititu / caitetu			queixada			pênis			pimenta			pessoa / serhumano / alguém			pilão			pilar			furar / espetar			abacaxi			piranha			brincar			brincar (2)			mingau			abóbora / moranga / jerimun			pôr / colocar			chuva			rato			cru			vermelho			lembrar (-se)			resina			virar / voltar			maduro			rio			assar			raíz			corda			redondo			remar			correr			triste (za)			saliva			sal			areia			dizer			assustar / amedrontar			escorpião			ver			semente			buscar / procurar			enviar			pajé			afiar			casca / pele			concha			curto			doente			cantar			irmã			irmã			irmã			irmã			sentar (-se)			pele			céu			dormir			bicho preguiça			pequeno			fumaça			caracol / lesma			cobra			roncar			filho de mulher			filho de homen			azedo / amargo			falar			aranha			macaco preto / macaco aranha / coatá			brotar / germinar			esquilo / caxinguelê/ quatimirim / quatipuru / serelepe			estar de / em pé / levantar			estrela			arraia			estômago			pedra			forte			sugar / chupar			sol			pintado / bagre 			varrer			doce			batat-doce			nadar			rabo / cauda			anta			Irara			ensinar			contar			acabar / terminar			cupim			testículos			aquele / aquilo			grosso			coisa			este			três			espinho			trovão			garganta			carrapato			atar / amarrar			timbó			inhambu / nambu / perdiz / xororó			cansado			fumo / tabaco			hoje			amanhã			língua			dente			tucano			traíra			árvore			tucumã			tartaruga / jaboti / jabuti			dois / duas			feio			tio (materno)			desatar / desamarrar / soltar			urinar			veia			aldeia			pátio /praça			vomitar			urubú			acordar			andar / caminhar			querer			lavar			vespa			água			cera			nós			nós			tecer			molhado			oquê			branco			quem			esposa			gato do mato			cachorro do mato			vento			asa			asa			pica-pau			mulher			verme / minhoca			ferida			amarelo			ontem			você / tu			vocês / vós			
	Subfamily	ISO-Code	ID	Glottolog	Longitude	Latitude	ABOVE			AFTER			AGOUTI			ALL			ALONE			ANACONDA			ANATTO			ANT			ANTEATER			MOUNTAIN SOURSOP 			ARM			ARMADILLO			ARRIVE			ARROW			ASH			AVENGE			AXE			AÇAÍ PALM			BACK			BABAÇU			BAD / EVIL			BAMBOO			BANANA			BASKET			BAT			BATHE			BEADS			BE WRONG			BEANS			BEARD			BEAUTIFUL			BEE			BELLY			BELLYBUTTON			BELOW			BENCH			BIG			BIRD			BITE			BLACK			BLOOD			BLOW			BLUE			BONE			BOW			BOY			BRANCH			BRAZIL NUT			BREAK			BREAST			BREATHE			BROTHER			BROTHER (y of m)			BROTHER (o of m)			BROTHER (y of w)			BROTHER (o of w)			BURN (intr)			BURN (tr)			BURY			BUTTOCKS			SLASH / GARDEN			BUTTERFLY			CALABASH / GOURD			CANOE			CAPUCHIN MONKEY			CAPYBARA			CARÁ ROOT / YAM			CHIEF / MASTER / OWNER			CASHEW			CHILD			CICADA			CLAW			CLAY / MUD			CLOUD			COATI			COCKROACH			COCOA			COLD			COME			COMB			CORN / MAIZE			COTTON			CRAB			CRICKET (zool)			CRY			CURASSOW			CUT			DANCE			DAUGHTER OF WOMAN			DAUGHTER OF MAN			DAY			DEER			DEFECATE			DIE			DIG			DIGGING STICK			DIRTY			DO / MAKE			DOG			DOOR			DRAW / PAINT			DRESS UP			DRINK (v)			DRY			DRY (state)			EARTH / LAND			EAR			EAT (intr.)			EAT (tr.)			EGG			CECROPIA			ELECTRIC EEL			ENTER			EYE			FACE			FALL			FAR			FAT / GREASE			FATHER			FEAR / BE AFRAID			FEATHER			FINGER			FIRE			FIREFLY / GLOWWORM			FIREWOOD			FISH			FISHHOOK			FLAT			FLEA / CHIGGER			FLESH / MEAT			FLOUR			FLOWER			FLY			FLY (insect)			FOOD			FOOT			FORGET			FOUR			FROG / TOAD			FRUIT			FULL			GATHER			GENIPA			GIRL			GIVE			GNAT / PIUM			GO			GO UP			GOOD / WELL			GRANDFATHER			GRASS			GREEN			GROW			GREEN IGUANA			GUAN / JACU			HAIR			HAMMOCK			HAND			HAPPY			HAWK			HEAD			HEAL			HEAR / LISTEN			HEART			HEAVY			HEDGEHOG			HELP			HEN / CHICKEN			HERE			HIDE			HIT			HOLE			HONEY			HORN			HOT			HOUSE			HOWLER MONKEY			HUMMINGBIRD			HUNT			HUSBAND			I			INGA			INSIDE			JACARÉ / CAIMAN / CROCODILE			JAGUAR			JUMP			KILL			KING FISHER			KNEE			KNIFE			KNOW			LAKE			LARGE ANT / BULLET ANT			LARGE MANDI FISH			LAUGH			LEAF			LEARN			LEAVE / GO OUT			LEG			LAY (DOWN)			LIVER			LIZARD			LONG / TALL			LOOK AT			GETLOST / LOOSEoneS			LOUSE			MACAW			MAGGOT / LARVA			MAN			MANIOC			MANY			MEDICINE			MILK			MONKEY			MOON			MORNING			MOUNTAIN / HILL			MOSQUITO			MOTHER			MOTHER-IN-LAW (of men)			MOTHER-IN-LAW (of woman)			MOULD			MOUSTACHE			MOUTH			NAIL / CLAW			NAME			NECK			NEST			NEW			NIGHT			NOSE			NOW			OAR			OLD (adj)			ONE			OPEN			OPOSSUM / SKUNK			OTHER / SOME			OWL			PACA			PACU FISH			PAIN / HURT			PAN			PAPAYA			PARROT			PATH / WAY			PEACH PALM			PEANUT			PECCARY (collared)			PECCARY (white-lipped)			PENIS			PEPPER			PERSON / HB / SOMEONE			PESTLE			PESTLE (verb)			PIERCE			PINEAPPLE			PIRANHA			PLAY			PLAY (2) (CAUSE TO JUMP)			PORRIDGE			PUMPKIN			PUT			RAIN			RAT			RAW			RED			REMEMBER			RESIN			RETURN / COME BACK			RIPE			RIVER			ROAST			ROOT			ROPE			ROUND			ROW / PADDLE			RUN			SAD (NESS)			SALIVA			SALT			SAND			SAY			SCARE			SCORPION			SEE			SEED			SEEK / LOOK FOR / SEARCH			SEND			SHAMAN			SHARPEN			SHELL / BARK			SHELL			SHORT			SICK / ILL			SING			SISTER			SISTER (y of w)			SISTER (o of w)			SISTER, of m			SIT			SKIN			SKY			SLEEP			SLOTH			SMALL			SMOKE (n)			SNAIL			SNAKE			SNORE			SON OF WOMAN			SON OF MAN			SOUR / ACID /BITTER			SPEAK			SPIDER			SPIDER MONKEY /			SPROUT			SQUIRREL			STAND			STAR			STINGRAY			STOMACH			STONE			STRONG			SUCK			SUN			SURUBIM FISH			SWEEP			SWEET			SWEET POTATO			SWIM			TAIL			TAPIR			TAYRA			TEACH			TELL / NARRATE			TERMINATE / FINISH			TERMITE			TESTICLES			THAT			THICK			THING			THIS			THREE			THORN			THUNDER			THROAT			TICK			TIE			TIMBO LIANA			TINAMOU			TIRED			TOBACCO			TODAY			TOMORROW			TONGUE			TOOTH			TOUCAN			TRAHIRA FISH			TREE			TUCUMA PALM / AWARA			TURTLE			TWO			UGLY			UNCLE (MoBr)			UNTIE			URINATE			VEIN			VILLAGE			VILLAGE SQUARE			VOMIT			VULTURE			WAKE UP			WALK			WANT			WASH			WASP			WATER			WAX			WE (EXCL)			WE (INCL)			WEAVE			WET			WHAT 			WHITE			WHO 			WIFE			WILD CAT			WILD DOG			WIND			WING			WING (2)			WOODPECKER			WOMAN			WORM (EARTH)			WOUND			YELLOW			YESTERDAY			YOU (sg)			YOU (pl)			
							1741			1685			313			98			1964			896						587			181						1673			1885			1387			977			646			495			677			2437			1291						3764			1827			868			1539			1793			138			1860			1390			2574			678			1427			665			1251			3715			1485			2584			1202			937			1403			163			946			176			837			1394			994			1366			1531						3020			1402			1407			1262															2102			141			1719			834			201			1791			411			1970						314			410			2394			2441			2099			2353			2128			1399 / 640			1489			2389			1575			2442			1287			1446			1475			3686			1850			2348			2354			1839			315			1432			1579			1357			1357			1260			1936			676			1494			1418			339			1230			813			2009			1567			3122			814			1401			1786			1398			3603			1247			1336			1336			744						2443			749			1248			1560			1280			1406			1282			1217			1419			1201			1303			221			206			10			227			1074			1633			232			2615			1594			239			1441			1504			256			1301			1523			1500			503			1507			1429			7						1646			1447						695			705			1035			1383			606			1425 / 2382			479			1578			437			2648			2019			1277			1495			307			1256			499			1408 / 1608			1223			1210			1797			1897			1318			136			2486			1433			1667			942			1393			1286			1252			433			1589			1435			1200			1209						1606			1857			1250			1829			1417						1371			1352			3626			624									1355			628			504			1752			1297			2071			1224			632			1203 / 2143			1819			423			1392			1630			/_2640			1554			927			1198			1372			635			1350			1313			1339			639 / 2118			1509			1216			2257			2256						1165			674			2128			1405			1333			539			1231			1233			1221			1376			3137			1229			1493			1156			309			197_/1241			735			316						1783 / 2561			31			2445			882			2252						2364			435			436			1222			1385			683			225						398			2440			317			1413									864			998			658			1490			1959			156			707			664			581			178			666			1962			670			1218			1395			1849			1519			699			1503			1274			1127			1458			252			1538			1409			714			1468			1127			394			251			1204 / 2127			598			1645			1847			1261			1263												1416			763			1732			1585			2446			1246			778			1543			730			1983			1620			1620			1906			1623			843			434			2076			1628			1442			1430			1910			819			857			785			1421			1343						230			717			159			1439			1220			312						709			1711			1766			883			797			78			1244			738			1214			492			124			1150			1346			1527			1917			2388						1757			974			1283			1329			1205			1380			308						906			2439			112			1498			1548			2692			352						1924			930						1278			1185			1602			1443			1784			1453			1517			948						1130			1131			133			1726			1236			1335			1235			1199			2241			2448			960			1257			1257			2447			962			2350			1109			1424			1174			1213			1213			
													42029									794661			584439						1661			1054865																								1100375						1131651									44527						7631												4277																																																									321258																																										854			578228						28561340			326517			8214						71147						2645413												328601			413			484592												1115259			47124114						996						45512062																																																																											61334			206595																																				7487															3197988															421															1553												23769802									49316918																								793235			45508953																																	327162						49953003																											41553			8021												47114559						2820255			328606									7975															403327			46582210																																				1002			1177964									1154718																								473																																																									328504						696			326582			215393									585682			1591						1130861			641309			1037712			357663																					1126520																																																																																																																																																																														166			41555						34612									46560356																		356148									580962												328036																																																			8669						38459															1593			6903						29370			794307																														2922049																																																311661			328685												1595																								
Karo (Arara)	Ramarana-Purubora	arr	arr	karo1305	-61.5691	-10.3342	naʔot			kanə̃j̃			wakãja	2		tamək / jakatɨɨm	0 / A					mãjgãratsa			koko	4		napia			etsigun						pãbɨ́ʔ	5		jajo	1		jaʔon			tʃṍabe	B		tsarĩŋʔaʔ						janoʔnon	1_A		ɨukap			pereʔtep			maʔtek			járo_ʃak_top			pajan			iwa	8		aɲãj			ijo	0		jaʔmoj			morìja			pehɲet			maʔta			ijogõjom			pãt	7		wãj			kun			orok	2					iʔjam	3		wew			koret			to	1		pĩk-tem			ju			pupu	1		kuruk	B	also means  'green'	tʃigã́			tagɨp	6		nakõm			janã	1		ijã	1		təj			nãmʔaʔ	1		jogoj_wuj			ʔígup		also means  'older_sister,_uncle,_aunt'													tʃiit	4		tɨn / pəgat			tãn			ʃía			naʃej			kɨrɨwep	7		Karo (Arara)			kanóa			naʔwəj	6		mãro			maraʔã			iʔjat_ʃu			tson			owe/nakõm			agarajõ			itsijõ						tʃarogĩn			iʔtsogo			tsapekataro			agaja			pitẽk	4		ti	3		nãp			nãja	7		mok	8		koja			kɨrɨʔkãj			we			inãw			piʔʃãp			penaop									at	1		itɨ	4		orawa	5		paj	4		on						ŋã			pe			wawwaw	6		jaʔmì						mãn			ʔot	1		aʔtsaraŋnãn			ʃãrãɲ			ɨgana	7		opirisap			nok	6		kam			joga			pak_pak			jogo	2		ɲarat			tʃaga			naʔkõn			paʔpat			tãw			kap	1		jõm	1		piaʔan	2		aʔ-tsap			pakaaʔ			tʃan	1		magowip			tʃat			ip			ʃo_puʔ			tʃẽrat			nãp			tʃĩm						ʃìn			wan			tʃop			wirik			pibeʔ			ʃeti_ʃetoj			pagon/nopəttem			were	7		ʔa			tõn-nem			tén			ɨ	3		nakõm			pãŋan			tsɨtsɨ			ʔet			koʔpan			pãttem	7		toto						kɨrɨk / kɨt		kɨt_also 'yellow,_almost_ripe'	waj			jamomõ			koret			naʔtʃat			manikap	8		pabeʔ	1_3		wãw			kokõ			naka			ʃeri			top			tsaragaʔ	4		piʔti	1		mawi			paj_nãn						met			maʔʃun			tʃape			tʃək			pewit	1		aʔ-naʔĩn			jakõp/jakõj	1	also 'to sweat'	kaʔaʔaʔ/at			jaɨ			kãram			ʃɨm_jegat			mẽn	1		ʔõn	2		ʃapo	5		ʔek			wajo	3		ameko	3		tpu/ʃapehanãm/ʃapepuɲ		ideo./ideo./ideo.	wi	4		tserek			i-jɨnkaʔ			ianakaʔ			tʃaməj						napia	1		ip_nakãra			ʃej			naʔjop			tʃaməj			wuj		also means  'nascer'	tʃə̃p (pɨʔ)			moj			bia_	1		jaʔo			məi/tʃara			mõm			matẽra			nəp	1		karo	6					maʔwɨr	0		manĩ	1		paʔpiktem			kaʔ			nam_ʃu			naʔwəj/tsego			wen	6					nopɨʔ			tik	1		owã	4											tajkit			wajo			tʃijõ			ete	1		jot			koroʔʃit			nẽttem			iʔtsakmãm			naʔtʃək			tena			weri_weri	3		poj			koti						motsaj			paj			pobo			jaba	5		pako	1		pap						op	1		aoro	1		naʔpɨt			jomĩt			makap	3		jaratsewak	4		jate / pitẽg	4_/		tʃapə	3		pejõ			iʔtə			tuɲ			pen			parak			anana	1		ihjãj			pakat									tsirimõ	1		pãn			amãn	1		məga						up			ja						paraʔkək			uj			itʃɨ	1		peʔun			atʃibe			mok			pirun			weri			peʔtʃɨt			tʃaropap			kuruʔtʃu	4					tsarokãja			ʔe			ʃiʔtej			tsat			toj			tʃot			jagat			maʔwan	3		agoaʔpat			ʃugat			aʔ-tsaʔpe						piʔʃap			wãk			óra			anãtŋa												paramu			aʔ-peonpeʔ			narawen			ken	1		aʔi	1		mirĩ	1		tʃarogĩn	1		waro			mãjgãra	5		ɲoron_ɲoron			məmbət	1		məmbət	1		tʃaʔjõk			wero			paramit	8		tsego_pɨk	3					paraʔpaj			jat			tsigamo	7		jaw			ʃára_kaʔ			ija	3		maromut			toʔtoʔ			tsaʔwap			koran	2		wirup			pewit			peʔtik	5		kətitʃɨ			tʃapop			naʔto	A		ei			ʃahmãj_nãn			petõ			kãri_nãn			najua			ʃapia			jetje			paʔpe			kanã_			yet			pagon / noptem			non			peren			ot_puʔ			magopi			mãn			napok / atĩŋ			petsia / wãm	5 / 3		pitãn			tsarogĩn			min			kanã			joga	4		jãj	1		jokãn	1		paro			waʔɨp	5		ʔõn_ʔõn			moa	7		tʃagaro			petʃep			ite			ɲarat			tʃitok			kõnam									owé			tʃibekon						kə / tən			ʃejegat			tʃan / idákú	/_clothes		nãp	1		itʃɨ			ʃen			te			iʔtə			tiɲan			ʃimek			kɨt	5		kɨt			mõrã			tʃej			ameko_ʔɨbĩrɨp			magojapan			anãŋot	5		tem						tsiwere			maʔpəj	7		tĩŋ						tsiõp-tem						ẽn	1		kaʔtoʔ			
Puruborá	Ramarana-Purubora	pur	pur	puru1264	-62.4358	-11.4226							βakĩĩ	2		wuijaba	9					tahani						mĩŋk / wĩ (ŋ)			aʃukur	2					mba	5		jajo	1		anẽm	1		kujabe	B		ʃĩ.ã_/ʒakəɲa_kido						wija	1		maʃimbá			ʒakaã						eperetete						hɨwa	8		majʔa / ʃurá			ʃipẽj / motaĩ			apa									ʃsakakɨj									ʃãwak			ʃuruaka												rudede			maʃajã			ʃeka	1		mɨkə̃			kuruip									murũp			támẽ									 (m)ãm (p)ka						nãwã	1																				bakiβipa												gatéj			ʃapekot						umanap			waʔora			murutu / bikikí			ʃoʃotka / bobká / ekap			kapá						kuruá			kotkõrã	1		ʃukujã						akenja			biik	9		koroat						bidek	4		βəta			deteʔp			ʃia			akopak	7		aʃẽj						wepa			βitap	1								beruá			beruá			toro			ɨdɨ	4					ʃomorõm	5								ʃipõ						ameko	2		ahuá			mbabiká						ʔo	1		kĩrĩk			wit			ɨj			ʃapeto			ʔo						akap						joko	2					toka		also means  '_sun'							bípe			biʃoa			aʔpa	1		biá (d)	2		təp			patoka			namiʃə̃op			tutukuju			namiʃə̃			ɨpbaj									uruʃa			ʔita / dió			muikaburu						aʃitá			amerop			beʔora			ʃibe									gia_hɨɨja / mojbojá						bɨdət						miʃitá						beka			miʃirik			adotá			awipá			atota / kapiʃe			abap_/atop			muʃɨã			herop									aribew			aʃatep			anikap	8		ba / wapita (j)	1					kokoʔi			aʃã									mənaka			kú (d)	3		motãj						mbaʃarí																					dəβa			eka	1		aʒɨ			ʃiroa						men	1		ʔõn	2								baʃa (re)	1		wuru	4					mi	4		ʃedet			mihõrã (ɲ)			 (h)opá			kɨmeʃa (n)						mĩŋk / ndabiáʔ	/_1		waita			haʔa			ap									awá			bopa			 (m)bia	1		mə̃joβãj / mbajká / kurimaap			tɨwa									atɨp	2		ʃipaja	5					aβɨtaj / wabe (j)	0		mɨ̃jka	1											waworá			βereja									tik / tajuk	1		aɲã	5														uruap						tet	1		buʃuka	5					hurua			ʃeu			ɲuʔa												mõm												aroʔi			pɨta												makarã	B		ʃaramɨm			be	1		jupikap			ẽʔẽkap	3		apɨka			anẽwã / hənewã			bibora			makũjkap			dede												parparaʔa	3		ʃɨbɨk																		amən	1		badop	6					wɨp / ʃéw	6_/								anemakojé			ʃererehudidi																											obezí	3					ɨjʃabarakap			βedowɨ						tattãnt / ijáw			topa			kap															tabe / boba (b)	1								wowa			i			wã / aʃá												tapia			tabe			ɨmambe	C		keta	1		aʔi	1		meruã / ʃinene			ʒakĩɲa			taroβa			majũ	1					berwa			berwa									ʃapekot	9		ʃeko	4					warabaja			ʔõnaja			tutukujũm			 (ii)jaw			zokoã			burua									toka		also means  '_eye'	korare	2								witiká	1					tabop			tani			wata												uuju_murũm (p)			taburuká															mbokówewá			adó									tapiʔjia						dabɨ	1		ʃoap						petə / uu						toró			kobe / urwap			ĩka	1		jokãnt	1		barawa						ariʔa / maʃoká			tabebɨra			βewap						pagojameroá						ʃitoka			ərəpop												kujmarə̃						aʃitá									dabai	2		ʃerere / wuj									jeβəra						ipəj						ajawat / awaka						taj			puruʃint			õẽjʔap			eweté / nahob	/_5		naβop						panɨ̃wa			pakoja	7		anĩt						ajaβak						ʔen	1					
Ntogapíd  (Itogapúk)	Ramarana-Purubora	???	nto	???	-61.66003	-10.452133							mãkaiã	2																							paβe	5								tʃúabe	B								ija	1																	iwá (ga)						ijoa	0														ɲjokoɲjum						pewid	4																	ĩ̄ja																		tʃigã			tágup	6																																															najapé	1_2					waja			kanoi																		meremed / meniméniub																								iwitéakana / manẽg									nãjaá	7		mbóg	8											inãu																		ití	4																				wawáu	6																				igana / ɨja	7 / 		nakiriβe	6																				tʃakaa															úme	1											tʃaan	1					tʃad			ib									mutʃá			jagora																		píβe	1								waiwái												ií	3																							natʃo															natʃáb			manikáb	8		parobé									natʃód / aká	/ 1																																									jakumbtem	1		kaá															un	2								totó	5		amekú	3														biʃá / ijá																		waítʃi / maítʃib									tʃigã́																					nab	1		káru	6					aíd	0		manína	1											nawʔi			wen (a)	6											ajuangá	5														naká																					naitʃaʔ_tu												nutírem															diãba	5											ob	1					pid																																																						amán	1																																																																																																																				nrawenbé			ker															mwigána	5																																tʃigamóga	7								ijá	7								tʃawáb												betɨka	1								nató / ití	A_ /																																pairóbtem																																				nukaβe	4		injáĩ	1								waíb	5					mbóa	7		jagarekom																											ipekúna																		itʃí																					itʃapórokana															ganãgód	5											mapaj	7														en	1					
Ramarama	Ramarana-Purubora	???	rm	???	-63	-10.4							mãkaiã	2											kokó	4											pãŋwa / pãŋwetané			jajo	1					sjuã	B								ijanonoŋ	1_A											septem						iwa												majkup									nasap			paatém	7								oroká	2																				u			pupu	1					tʃigã			sjuãmbé															nãmá	1					ité																														kuruwep	7		mapeá						naói	6					jamó						tson			merimit																					karajá												nãjeŋ	7		emok	8																													itu	4					paj	4														wawáu	6																				ehigənẽ	7		nakirabe	6		noga	6																	tʃogá												kaphá	1		um	1								pagé			tʃana	1								hip / tʃaná			wiŋwi															majutsin												piwe	1								uŋweré	7											ii	3								inaŋ									paatém	7																	kureto			nasap			maniké	8		pabé	1_3					itém												tʃaragá	4																																																											totó	5		ameko	3											uŋgá			ijápokpak																											ʃampu						piá	1		unekó															karo	6					mauwi	0		manin	1														wená	6								tiko	1		wanga	5											uguɲuŋ			nãka									otká	5											nasoktomi																											jabó	5								maẽga	1		opí	1		aoro	1											jarasewat	4		jate	4		apó																																	waja_ha						amã	1																																																																																																																	beoʔdn	1_6																				maigaŋ	5											sjurem						paramint															tʃigamóka	7								ijá	7								tʃawáp												petika	1								nató	A																	apiãn																																				wam	3														ukagá	4		njãŋ	1								majup	5					mboá	7					septem															koãŋa																											itʃu																																				anãgoté	5											mapoja	7																				
